Year,Name,PP,DD,MM,FF,Mode,Ch,Movie,Nom,Pic,Dir,Aml,Afl,PrN,PrW,PrNl,PrWl,Gdr,Gmc,Gd,Gm1,Gm2,Gf1,Gf2,PGA,DGA,SAM,SAF,Age,Length,Days
2005,Haggis,0,1,0,0,2,2,Crash,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Lee,0,1,0,0,3,1,Brokeback,8,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2005,Miller,0,1,0,0,4,2,Capote,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Spielberg,0,1,0,0,5,2,Munich,5,1,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,HoffmanPS,0,0,1,0,1,1,Capote,5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,38,0,0
2005,HowardT,0,0,1,0,2,2,Hustle,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
2005,Ledger,0,0,1,0,3,2,Brokeback,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
2005,Phoenix,0,0,1,0,4,2,Walk,5,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,0,0
2005,Strathairn,0,0,1,0,5,2,Goodnight,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0
2005,Dench,0,0,0,1,1,2,Henderson,2,0,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0
2005,Huffman,0,0,0,1,2,2,Transamerica,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,0,0
2005,Knightley,0,0,0,1,3,2,Pride,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
2005,Theron,0,0,0,1,4,2,North,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0
2005,Witherspoon,0,0,0,1,5,1,Walk,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,29,0,0
2004,Aviator,1,0,0,0,1,2,Aviator,11,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,170,75
2004,Neverland,1,0,0,0,2,2,Neverland,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,107
2004,Million,1,0,0,0,3,1,Million,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,74
2004,Ray,1,0,0,0,4,2,Ray,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,131
2004,Sideways,1,0,0,0,5,2,Sideways,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,123,138
2004,Eastwood,0,1,0,0,1,1,Million,7,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2004,Hackford,0,1,0,0,2,2,Ray,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,Leigh,0,1,0,0,3,2,Vera,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,Payne,0,1,0,0,4,2,Sideways,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,Scorsese,0,1,0,0,5,2,Aviator,11,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,Cheadle,0,0,1,0,1,2,Rwanda,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
2004,Depp,0,0,1,0,2,2,Neverland,7,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
2004,DiCaprio,0,0,1,0,3,2,Aviator,11,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,0,0
2004,Eastwood,0,0,1,0,4,2,Million,7,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0
2004,Foxx,0,0,1,0,5,1,Ray,6,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,37,0,0
2004,Bening,0,0,0,1,1,2,Julia,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,46,0,0
2004,Moreno,0,0,0,1,2,2,Maria,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
2004,Staunton,0,0,0,1,3,2,Vera,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
2004,Swank,0,0,0,1,4,1,Million,7,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,30,0,0
2004,Winslet,0,0,0,1,5,2,Eternal,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
2003,Lost,1,0,0,0,1,2,Lost,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,102,149
2003,Master,1,0,0,0,2,2,Master,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,107
2003,Mystic,1,0,0,0,3,2,Mystic,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,137
2003,Return,1,0,0,0,4,1,Return,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,201,74
2003,Seabiscuit,1,0,0,0,5,2,Seabiscuit,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,219
2003,CoppolaS,0,1,0,0,1,2,Lost,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Eastwood,0,1,0,0,2,2,Mystic,6,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Jackson,0,1,0,0,3,1,Return,11,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2003,LundMeirelles,0,1,0,0,4,2,City,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Weir,0,1,0,0,5,2,Master,10,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Depp,0,0,1,0,1,2,Pirates,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0,0
2003,Kingsley,0,0,1,0,2,2,House,3,0,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,60,0,0
2003,Law,0,0,1,0,3,2,Cold,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
2003,Murray,0,0,1,0,4,2,Lost,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53,0,0
2003,Penn,0,0,1,0,5,1,Mystic,6,1,1,1,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0
2003,Castle-Hughes,0,0,0,1,1,2,Whale,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
2003,Keaton,0,0,0,1,2,2,Something,1,0,0,0,1,3,1,3,1,0,0,0,0,0,0,1,0,0,0,0,57,0,0
2003,Morton,0,0,0,1,3,2,America,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
2003,Theron,0,0,0,1,4,1,Monster,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,28,0,0
2003,Watts,0,0,0,1,5,2,Twentyone,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
2002,Chicago,1,0,0,0,1,1,Chicago,13,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,113,58
2002,Gangs,1,0,0,0,2,2,Gangs,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,93
2002,Hours,1,0,0,0,3,2,Hours,9,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114,58
2002,Pianist,1,0,0,0,4,2,Pianist,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,79
2002,Towers,1,0,0,0,5,2,Towers,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,95
2002,Almodovar,0,1,0,0,1,2,Talk,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Daldry,0,1,0,0,2,2,Hours,9,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Marshall,0,1,0,0,3,2,Chicago,13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,Polanski,0,1,0,0,4,1,Pianist,7,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Scorsese,0,1,0,0,5,2,Gangs,10,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2002,Brody,0,0,1,0,1,1,Pianist,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
2002,Cage,0,0,1,0,2,2,Adaptation,4,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,38,0,0
2002,Caine,0,0,1,0,3,2,Quiet,1,0,0,1,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0
2002,DayLewis,0,0,1,0,4,2,Gangs,10,1,1,1,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,45,0,0
2002,Nicholson,0,0,1,0,5,2,Schmidt,2,0,0,1,0,11,3,7,2,0,0,0,1,0,0,0,0,0,0,0,65,0,0
2002,Hayek,0,0,0,1,1,2,Frida,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
2002,Kidman,0,0,0,1,2,1,Hours,9,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,35,0,0
2002,Lane,0,0,0,1,3,2,Unfaithful,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
2002,MooreJ,0,0,0,1,4,2,Heaven,4,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
2002,Zellweger,0,0,0,1,5,2,Chicago,13,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,33,0,0
2001,Beautiful,1,0,0,0,1,1,Beautiful,8,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,135,79
2001,Bedroom,1,0,0,0,2,2,Bedroom,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,89
2001,Fellowship,1,0,0,0,3,2,Fellowship,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,95
2001,Gosford,1,0,0,0,4,2,Gosford,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,79
2001,Moulin,1,0,0,0,5,2,Moulin,8,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,127,296
2001,Altman,0,1,0,0,1,2,Gosford,7,1,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,HowardR,0,1,0,0,2,1,Beautiful,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,Jackson,0,1,0,0,3,2,Fellowship,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Lynch,0,1,0,0,4,2,Mulholland,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Scott,0,1,0,0,5,2,Hawk,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Crowe,0,0,1,0,1,2,Beautiful,8,1,1,1,0,2,1,2,1,0,0,0,1,0,0,0,0,0,1,0,37,0,0
2001,Penn,0,0,1,0,2,2,Sam,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
2001,SmithW,0,0,1,0,3,2,Ali,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
2001,Washington,0,0,1,0,4,1,Training,2,0,0,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0
2001,Wilkinson,0,0,1,0,5,2,Bedroom,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
2001,Berry,0,0,0,1,1,1,Monster,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0
2001,Dench,0,0,0,1,2,2,Iris,3,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0
2001,Kidman,0,0,0,1,3,2,Moulin,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,0,0
2001,Spacek,0,0,0,1,4,2,Bedroom,5,1,0,1,1,5,1,5,1,0,0,0,0,0,1,0,0,0,0,0,52,0,0
2001,Zellweger,0,0,0,1,5,2,Bridget,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
2000,Brockovich,1,0,0,0,1,2,Brockovich,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,373
2000,Chocolat,1,0,0,0,2,2,Chocolat,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,79
2000,Crouching,1,0,0,0,3,2,Crouching,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,93
2000,Gladiator,1,0,0,0,4,1,Gladiator,12,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,155,324
2000,Traffic,1,0,0,0,5,2,Traffic,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,79
2000,Daldry,0,1,0,0,1,2,Elliot,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Lee,0,1,0,0,2,2,Crouching,10,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2000,Scott,0,1,0,0,3,2,Gladiator,12,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Soderbergh,0,1,0,0,4,2,Brockovich,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Soderbergh,0,1,0,0,5,1,Traffic,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Bardem,0,0,1,0,1,2,Night,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
2000,Crowe,0,0,1,0,2,1,Gladiator,12,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
2000,Hanks,0,0,1,0,3,2,Cast,2,0,0,1,0,4,2,4,2,0,0,0,1,0,0,0,0,0,0,0,44,0,0
2000,HarrisE,0,0,1,0,4,2,Pollock,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
2000,Rush,0,0,1,0,5,2,Quills,3,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,49,0,0
2000,Allen,0,0,0,1,1,2,Contender,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
2000,Binoche,0,0,0,1,2,2,Chocolat,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
2000,Burstyn,0,0,0,1,3,2,Requiem,1,0,0,0,1,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,68,0,0
2000,Linney,0,0,0,1,4,2,Count,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
2000,RobertsJ,0,0,0,1,5,1,Brockovich,5,1,1,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,33,0,0
1999,American,1,0,0,0,1,1,American,8,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,122,177
1999,Cider,1,0,0,0,2,2,Cider,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,100
1999,Green,1,0,0,0,3,2,Green,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,107
1999,Insider,1,0,0,0,4,2,Insider,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,142
1999,Sixth,1,0,0,0,5,2,Sixth,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,233
1999,Hallstrom,0,1,0,0,1,2,Cider,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Jonze,0,1,0,0,2,2,Malkovich,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,MannM,0,1,0,0,3,2,Insider,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Mendes,0,1,0,0,4,1,American,8,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1999,Shyamalan,0,1,0,0,5,2,Sixth,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Crowe,0,0,1,0,1,2,Insider,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
1999,Farnsworth,0,0,1,0,2,2,Straight,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0
1999,Penn,0,0,1,0,3,2,Sweet,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
1999,Spacey,0,0,1,0,4,1,American,8,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0,0
1999,Washington,0,0,1,0,5,2,Hurricane,1,0,0,1,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0
1999,Bening,0,0,0,1,1,2,American,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,0
1999,McTeer,0,0,0,1,2,2,Tumbleweeds,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,0,0
1999,MooreJ,0,0,0,1,3,2,Affair,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
1999,Streep,0,0,0,1,4,2,Music,2,0,0,0,1,11,2,9,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0
1999,Swank,0,0,0,1,5,1,Boys,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0
1998,Beautiful,1,0,0,0,1,2,Beautiful,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,149
1998,Elizabeth,1,0,0,0,2,2,Elizabeth,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,135
1998,Saving,1,0,0,0,3,2,Saving,11,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,170,240
1998,Shakespeare,1,0,0,0,4,1,Shakespeare,13,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,122,86
1998,Thin,1,0,0,0,5,2,Thin,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,72
1998,Benigni,0,1,0,0,1,2,Beautiful,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Madden,0,1,0,0,2,2,Shakespeare,13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Malick,0,1,0,0,3,2,Thin,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Spielberg,0,1,0,0,4,1,Saving,11,1,1,1,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1998,Weir,0,1,0,0,5,2,Truman,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Benigni,0,0,1,0,1,1,Beautiful,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,0,0
1998,Hanks,0,0,1,0,2,2,Saving,11,1,1,1,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,42,0,0
1998,McKellen,0,0,1,0,3,2,Gods,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
1998,Nolte,0,0,1,0,4,2,Affliction,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
