movieId,title
170,Hackers (1995)
171,Jeffrey (1995)
172,Johnny Mnemonic (1995)
173,Judge Dredd (1995)
174,Jury Duty (1995)
175,Kids (1995)
176,Living in Oblivion (1995)
177,Lord of Illusions (1995)
178,Love & Human Remains (1993)
179,Mad Love (1995)
180,Mallrats (1995)
181,Mighty Morphin Power Rangers: The Movie (1995)
182,Moonlight and Valentino (1995)
183,Mute Witness (1994)
184,Nadja (1994)
185,"Net, The (1995)"
186,Nine Months (1995)
187,Party Girl (1995)
188,"Prophecy, The (1995)"
189,Reckless (1995)
190,Safe (1995)
191,"Scarlet Letter, The (1995)"
193,Showgirls (1995)
194,Smoke (1995)
195,Something to Talk About (1995)
196,Species (1995)
198,Strange Days (1995)
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
200,"Tie That Binds, The (1995)"
201,Three Wishes (1995)
202,Total Eclipse (1995)
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
204,Under Siege 2: Dark Territory (1995)
205,Unstrung Heroes (1995)
206,Unzipped (1995)
207,"Walk in the Clouds, A (1995)"
208,Waterworld (1995)
209,White Man's Burden (1995)
210,Wild Bill (1995)
211,"Browning Version, The (1994)"
212,Bushwhacked (1995)
213,Burnt by the Sun (Utomlyonnye solntsem) (1994)
214,Before the Rain (Pred dozhdot) (1994)
215,Before Sunrise (1995)
216,Billy Madison (1995)
217,"Babysitter, The (1995)"
218,Boys on the Side (1995)
219,"Cure, The (1995)"
220,Castle Freak (1995)
222,Circle of Friends (1995)
223,Clerks (1994)
224,Don Juan DeMarco (1995)
225,Disclosure (1994)
227,Drop Zone (1994)
229,Death and the Maiden (1994)
230,Dolores Claiborne (1995)
231,Dumb & Dumber (Dumb and Dumber) (1994)
232,Eat Drink Man Woman (Yin shi nan nu) (1994)
233,Exotica (1994)
234,Exit to Eden (1994)
235,Ed Wood (1994)
236,French Kiss (1995)
237,Forget Paris (1995)
238,Far From Home: The Adventures of Yellow Dog (1995)
239,"Goofy Movie, A (1995)"
240,Hideaway (1995)
241,Fluke (1995)
242,Farinelli: il castrato (1994)
243,Gordy (1995)
244,Gumby: The Movie (1995)
245,"Glass Shield, The (1994)"
246,Hoop Dreams (1994)
247,Heavenly Creatures (1994)
248,Houseguest (1994)
249,Immortal Beloved (1994)
250,Heavyweights (Heavy Weights) (1995)
251,"Hunted, The (1995)"
252,I.Q. (1994)
253,Interview with the Vampire: The Vampire Chronicles (1994)
254,Jefferson in Paris (1995)
255,"Jerky Boys, The (1995)"
256,Junior (1994)
257,Just Cause (1995)
258,"Kid in King Arthur's Court, A (1995)"
259,Kiss of Death (1995)
260,Star Wars: Episode IV - A New Hope (1977)
261,Little Women (1994)
262,"Little Princess, A (1995)"
263,Ladybird Ladybird (1994)
264,"Enfer, L' (1994)"
265,Like Water for Chocolate (Como agua para chocolate) (1992)
266,Legends of the Fall (1994)
267,Major Payne (1995)
268,Little Odessa (1994)
269,My Crazy Life (Mi vida loca) (1993)
270,Love Affair (1994)
271,Losing Isaiah (1995)
272,"Madness of King George, The (1994)"
273,Mary Shelley's Frankenstein (Frankenstein) (1994)
274,Man of the House (1995)
275,Mixed Nuts (1994)
276,Milk Money (1994)
277,Miracle on 34th Street (1994)
278,Miami Rhapsody (1995)
279,My Family (1995)
280,Murder in the First (1995)
281,Nobody's Fool (1994)
282,Nell (1994)
283,New Jersey Drive (1995)
285,Beyond Bedlam (1993)
287,Nina Takes a Lover (1994)
288,Natural Born Killers (1994)
289,Only You (1994)
290,Once Were Warriors (1994)
291,Poison Ivy II (1996)
292,Outbreak (1995)
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
294,"Perez Family, The (1995)"
295,"Pyromaniac's Love Story, A (1995)"
296,Pulp Fiction (1994)
297,Panther (1995)
298,Pushing Hands (Tui shou) (1992)
299,Priest (1994)
300,Quiz Show (1994)
301,Picture Bride (Bijo photo) (1994)
302,"Queen Margot (Reine Margot, La) (1994)"
303,"Quick and the Dead, The (1995)"
304,Roommates (1995)
305,Ready to Wear (Pret-A-Porter) (1994)
306,Three Colors: Red (Trois couleurs: Rouge) (1994)
307,Three Colors: Blue (Trois couleurs: Bleu) (1993)
308,Three Colors: White (Trzy kolory: Bialy) (1994)
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)"
310,Rent-a-Kid (1995)
312,Stuart Saves His Family (1995)
313,"Swan Princess, The (1994)"
314,"Secret of Roan Inish, The (1994)"
315,"Specialist, The (1994)"
316,Stargate (1994)
317,"Santa Clause, The (1994)"
318,"Shawshank Redemption, The (1994)"
319,Shallow Grave (1994)
320,Suture (1993)
321,Strawberry and Chocolate (Fresa y chocolate) (1993)
322,Swimming with Sharks (1995)
324,"Sum of Us, The (1994)"
325,National Lampoon's Senior Trip (1995)
326,To Live (Huozhe) (1994)
327,Tank Girl (1995)
328,Tales from the Crypt Presents: Demon Knight (1995)
329,Star Trek: Generations (1994)
330,Tales from the Hood (1995)
331,Tom & Viv (1994)
332,Village of the Damned (1995)
333,Tommy Boy (1995)
334,Vanya on 42nd Street (1994)
335,Underneath (1995)
336,"Walking Dead, The (1995)"
337,What's Eating Gilbert Grape (1993)
338,Virtuosity (1995)
339,While You Were Sleeping (1995)
340,"War, The (1994)"
341,Double Happiness (1994)
342,Muriel's Wedding (1994)
343,"Baby-Sitters Club, The (1995)"
344,Ace Ventura: Pet Detective (1994)
345,"Adventures of Priscilla, Queen of the Desert, The (1994)"
346,Backbeat (1993)
347,Bitter Moon (1992)
348,Bullets Over Broadway (1994)
349,Clear and Present Danger (1994)
350,"Client, The (1994)"
351,"Corrina, Corrina (1994)"
352,Crooklyn (1994)
353,"Crow, The (1994)"
354,Cobb (1994)
355,"Flintstones, The (1994)"
356,Forrest Gump (1994)
357,Four Weddings and a Funeral (1994)
358,Higher Learning (1995)
360,I Love Trouble (1994)
361,It Could Happen to You (1994)
362,"Jungle Book, The (1994)"
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)"
364,"Lion King, The (1994)"
365,Little Buddha (1993)
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
367,"Mask, The (1994)"
368,Maverick (1994)
369,Mrs. Parker and the Vicious Circle (1994)
370,Naked Gun 33 1/3: The Final Insult (1994)
371,"Paper, The (1994)"
372,Reality Bites (1994)
373,Red Rock West (1992)
374,Richie Rich (1994)
375,Safe Passage (1994)
376,"River Wild, The (1994)"
377,Speed (1994)
378,Speechless (1994)
379,Timecop (1994)
380,True Lies (1994)
381,When a Man Loves a Woman (1994)
382,Wolf (1994)
383,Wyatt Earp (1994)
384,Bad Company (1995)
386,S.F.W. (1994)
387,"Low Down Dirty Shame, A (1994)"
388,Boys Life (1995)
389,"Colonel Chabert, Le (1994)"
390,Faster Pussycat! Kill! Kill! (1965)
391,Jason's Lyric (1994)
392,"Secret Adventures of Tom Thumb, The (1993)"
393,Street Fighter (1994)
394,Coldblooded (1995)
403,Two Crimes (Dos crímenes) (1995)
404,Brother Minister: The Assassination of Malcolm X (1994)
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
407,In the Mouth of Madness (1995)
408,8 Seconds (1994)
410,Addams Family Values (1993)
412,"Age of Innocence, The (1993)"
413,Airheads (1994)
414,"Air Up There, The (1994)"
415,Another Stakeout (1993)
416,Bad Girls (1994)
417,Barcelona (1994)
418,Being Human (1993)
419,"Beverly Hillbillies, The (1993)"
420,Beverly Hills Cop III (1994)
421,Black Beauty (1994)
422,Blink (1994)
423,Blown Away (1994)
424,Blue Chips (1994)
425,Blue Sky (1994)
426,Body Snatchers (1993)
427,Boxing Helena (1993)
428,"Bronx Tale, A (1993)"
429,Cabin Boy (1994)
431,Carlito's Way (1993)
432,City Slickers II: The Legend of Curly's Gold (1994)
433,Clean Slate (1994)
434,Cliffhanger (1993)
435,Coneheads (1993)
436,Color of Night (1994)
437,Cops and Robbersons (1994)
438,"Cowboy Way, The (1994)"
439,Dangerous Game (1993)
440,Dave (1993)
441,Dazed and Confused (1993)
442,Demolition Man (1993)
443,"Endless Summer 2, The (1994)"
444,Even Cowgirls Get the Blues (1993)
445,Fatal Instinct (1993)
446,Farewell My Concubine (Ba wang bie ji) (1993)
447,"Favor, The (1994)"
448,Fearless (1993)
449,Fear of a Black Hat (1994)
450,With Honors (1994)
451,Flesh and Bone (1993)
452,Widows' Peak (1994)
453,For Love or Money (1993)
454,"Firm, The (1993)"
455,Free Willy (1993)
456,Fresh (1994)
457,"Fugitive, The (1993)"
458,Geronimo: An American Legend (1993)
459,"Getaway, The (1994)"
460,Getting Even with Dad (1994)
461,Go Fish (1994)
463,Guilty as Sin (1993)
464,Hard Target (1993)
465,Heaven & Earth (1993)
466,Hot Shots! Part Deux (1993)
467,Live Nude Girls (1995)
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
469,"House of the Spirits, The (1993)"
470,House Party 3 (1994)
471,"Hudsucker Proxy, The (1994)"
472,I'll Do Anything (1994)
473,In the Army Now (1994)
474,In the Line of Fire (1993)
475,In the Name of the Father (1993)
476,"Inkwell, The (1994)"
477,What's Love Got to Do with It? (1993)
478,Jimmy Hollywood (1994)
479,Judgment Night (1993)
480,Jurassic Park (1993)
481,Kalifornia (1993)
482,Killing Zoe (1994)
483,King of the Hill (1993)
484,Lassie (1994)
485,Last Action Hero (1993)
486,Life with Mikey (1993)
487,Lightning Jack (1994)
488,M. Butterfly (1993)
489,Made in America (1993)
490,Malice (1993)
491,"Man Without a Face, The (1993)"
492,Manhattan Murder Mystery (1993)
493,Menace II Society (1993)
494,Executive Decision (1996)
495,In the Realm of the Senses (Ai no corrida) (1976)
496,What Happened Was... (1994)
497,Much Ado About Nothing (1993)
498,Mr. Jones (1993)
499,Mr. Wonderful (1993)
500,Mrs. Doubtfire (1993)
501,Naked (1993)
502,"Next Karate Kid, The (1994)"
504,No Escape (1994)
505,North (1994)
506,Orlando (1992)
507,"Perfect World, A (1993)"
508,Philadelphia (1993)
509,"Piano, The (1993)"
510,Poetic Justice (1993)
511,"Program, The (1993)"
512,"Puppet Masters, The (1994)"
513,Radioland Murders (1994)
514,"Ref, The (1994)"
515,"Remains of the Day, The (1993)"
516,Renaissance Man (1994)
517,Rising Sun (1993)
518,"Road to Wellville, The (1994)"
519,RoboCop 3 (1993)
520,Robin Hood: Men in Tights (1993)
521,Romeo Is Bleeding (1993)
522,Romper Stomper (1992)
523,Ruby in Paradise (1993)
524,Rudy (1993)
525,"Saint of Fort Washington, The (1993)"
527,Schindler's List (1993)
528,"Scout, The (1994)"
529,Searching for Bobby Fischer (1993)
531,"Secret Garden, The (1993)"
532,Serial Mom (1994)
533,"Shadow, The (1994)"
534,Shadowlands (1993)
535,Short Cuts (1993)
536,"Simple Twist of Fate, A (1994)"
537,Sirens (1994)
538,Six Degrees of Separation (1993)
539,Sleepless in Seattle (1993)
540,Sliver (1993)
541,Blade Runner (1982)
542,Son in Law (1993)
543,So I Married an Axe Murderer (1993)
544,Striking Distance (1993)
546,Super Mario Bros. (1993)
547,Surviving the Game (1994)
548,Terminal Velocity (1994)
549,Thirty-Two Short Films About Glenn Gould (1993)
550,Threesome (1994)
551,"Nightmare Before Christmas, The (1993)"
552,"Three Musketeers, The (1993)"
553,Tombstone (1993)
554,Trial by Jury (1994)
555,True Romance (1993)
556,"War Room, The (1993)"
558,"Pagemaster, The (1994)"
561,Killer (Bulletproof Heart) (1994)
562,Welcome to the Dollhouse (1995)
563,Germinal (1993)
565,Cronos (1993)
566,Naked in New York (1994)
567,Kika (1993)
569,Little Big League (1994)
570,"Slingshot, The (Kådisbellan) (1993)"
571,"Wedding Gift, The (1994)"
572,Foreign Student (1994)
573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)"
574,Spanking the Monkey (1994)
575,"Little Rascals, The (1994)"
577,Andre (1994)
580,Princess Caraboo (1994)
581,"Celluloid Closet, The (1995)"
583,Dear Diary (Caro Diario) (1994)
585,"Brady Bunch Movie, The (1995)"
586,Home Alone (1990)
587,Ghost (1990)
588,Aladdin (1992)
589,Terminator 2: Judgment Day (1991)
590,Dances with Wolves (1990)
592,Batman (1989)
593,"Silence of the Lambs, The (1991)"
594,Snow White and the Seven Dwarfs (1937)
595,Beauty and the Beast (1991)
596,Pinocchio (1940)
597,Pretty Woman (1990)
599,"Wild Bunch, The (1969)"
600,Love and a .45 (1994)
602,"Great Day in Harlem, A (1994)"
603,"Bye Bye, Love (1995)"
605,One Fine Day (1996)
606,Candyman: Farewell to the Flesh (1995)
608,Fargo (1996)
609,Homeward Bound II: Lost in San Francisco (1996)
610,Heavy Metal (1981)
611,Hellraiser: Bloodline (1996)
612,"Pallbearer, The (1996)"
613,Jane Eyre (1996)
614,Loaded (1994)
615,Bread and Chocolate (Pane e cioccolata) (1973)
616,"Aristocats, The (1970)"
618,Two Much (1995)
619,Ed (1996)
621,My Favorite Season (1993)
627,"Last Supper, The (1995)"
628,Primal Fear (1996)
630,Carried Away (1996)
631,All Dogs Go to Heaven 2 (1996)
632,Land and Freedom (Tierra y libertad) (1995)
633,Denise Calls Up (1995)
634,Theodore Rex (1995)
635,"Family Thing, A (1996)"
637,Sgt. Bilko (1996)
638,Jack and Sarah (1995)
640,Diabolique (1996)
645,Nelly & Monsieur Arnaud (1995)
647,Courage Under Fire (1996)
648,Mission: Impossible (1996)
649,Cold Fever (Á köldum klaka) (1995)
650,Moll Flanders (1996)
652,"301, 302 (301/302) (1995)"
653,Dragonheart (1996)
654,And Nobody Weeps for Me (Und keiner weint mir nach) (1996)
656,Eddie (1996)
659,Purple Noon (Plein soleil) (1960)
661,James and the Giant Peach (1996)
662,Fear (1996)
663,Kids in the Hall: Brain Candy (1996)
664,Faithful (1996)
665,Underground (1995)
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
668,Song of the Little Road (Pather Panchali) (1955)
670,"World of Apu, The (Apur Sansar) (1959)"
671,Mystery Science Theater 3000: The Movie (1996)
672,Tarantella (1995)
673,Space Jam (1996)
674,Barbarella (1968)
678,Some Folks Call It a Sling Blade (1993)
679,"Run of the Country, The (1995)"
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
681,Coup de torchon (Clean Slate) (1981)
683,"Eye of Vichy, The (Oeil de Vichy, L') (1993)"
688,Operation Dumbo Drop (1995)
691,Mrs. Winterbourne (1996)
692,Solo (1996)
694,"Substitute, The (1996)"
695,True Crime (1996)
697,Feeling Minnesota (1996)
698,Delta of Venus (1995)
700,Angus (1995)
702,Faces (1968)
703,Boys (1996)
704,"Quest, The (1996)"
705,Cosi (1996)
706,Sunset Park (1996)
707,Mulholland Falls (1996)
708,"Truth About Cats & Dogs, The (1996)"
709,Oliver & Company (1988)
710,Celtic Pride (1996)
711,Flipper (1996)
712,Captives (1994)
714,Dead Man (1995)
715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
718,"Visitors, The (Visiteurs, Les) (1993)"
719,Multiplicity (1996)
720,Wallace & Gromit: The Best of Aardman Animation (1996)
722,"Haunted World of Edward D. Wood Jr., The (1996)"
724,"Craft, The (1996)"
725,"Great White Hype, The (1996)"
726,Last Dance (1996)
728,Cold Comfort Farm (1995)
731,Heaven's Prisoners (1996)
732,Original Gangstas (1996)
733,"Rock, The (1996)"
735,Cemetery Man (Dellamorte Dellamore) (1994)
736,Twister (1996)
737,Barb Wire (1996)
741,Ghost in the Shell (Kôkaku kidôtai) (1995)
742,Thinner (1996)
743,Spy Hard (1996)
745,Wallace & Gromit: A Close Shave (1995)
747,"Stupids, The (1996)"
748,"Arrival, The (1996)"
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
753,"Month by the Lake, A (1995)"
755,Kim (1950)
756,Carmen Miranda: Bananas Is My Business (1994)
757,Ashes of Time (Dung che sai duk) (1994)
759,Maya Lin: A Strong Clear Vision (1994)
760,Stalingrad (1993)
761,"Phantom, The (1996)"
762,Striptease (1996)
764,Heavy (1995)
765,Jack (1996)
766,I Shot Andy Warhol (1996)
767,"Grass Harp, The (1995)"
771,"Life Is Rosy (a.k.a. Life Is Beautiful) (Vie est belle, La) (1987)"
777,Pharaoh's Army (1995)
778,Trainspotting (1996)
779,'Til There Was You (1997)
780,Independence Day (a.k.a. ID4) (1996)
781,Stealing Beauty (1996)
782,"Fan, The (1996)"
783,"Hunchback of Notre Dame, The (1996)"
784,"Cable Guy, The (1996)"
785,Kingpin (1996)
786,Eraser (1996)
787,"Gate of Heavenly Peace, The (1995)"
788,"Nutty Professor, The (1996)"
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)"
798,Daylight (1996)
799,"Frighteners, The (1996)"
800,Lone Star (1996)
801,Harriet the Spy (1996)
802,Phenomenon (1996)
803,Walking and Talking (1996)
804,She's the One (1996)
805,"Time to Kill, A (1996)"
806,American Buffalo (1996)
807,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)"
808,Alaska (1996)
809,Fled (1996)
810,Kazaam (1996)
813,Larger Than Life (1996)
816,Two Deaths (1995)
818,"Very Brady Sequel, A (1996)"
824,Kaspar Hauser (1993)
827,"Convent, The (O Convento) (1995)"
828,"Adventures of Pinocchio, The (1996)"
829,Joe's Apartment (1996)
830,"First Wives Club, The (1996)"
832,Ransom (1996)
833,High School High (1996)
834,Phat Beach (1996)
835,Foxfire (1996)
836,Chain Reaction (1996)
837,Matilda (1996)
838,Emma (1996)
839,"Crow: City of Angels, The (1996)"
840,House Arrest (1996)
841,"Eyes Without a Face (Yeux sans visage, Les) (1959)"
842,Tales from the Crypt Presents: Bordello of Blood (1996)
848,"Spitfire Grill, The (1996)"
849,Escape from L.A. (1996)
850,Cyclo (Xich lo) (1995)
851,Basquiat (1996)
852,Tin Cup (1996)
858,"Godfather, The (1972)"
860,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)"
861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992)
862,Manny & Lo (1996)
865,Small Faces (1996)
866,Bound (1996)
869,Kansas City (1996)
870,Gone Fishin' (1997)
875,Nothing to Lose (1994)
876,Supercop 2 (Project S) (Chao ji ji hua) (1993)
879,"Relic, The (1997)"
880,"Island of Dr. Moreau, The (1996)"
881,First Kid (1996)
882,"Trigger Effect, The (1996)"
885,Bogus (1996)
886,Bulletproof (1996)
888,Land Before Time III: The Time of the Great Giving (1995)
891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995)
892,Twelfth Night (1996)
893,Mother Night (1996)
896,Wild Reeds (Les roseaux sauvages) (1994)
897,For Whom the Bell Tolls (1943)
898,"Philadelphia Story, The (1940)"
899,Singin' in the Rain (1952)
900,"American in Paris, An (1951)"
901,Funny Face (1957)
902,Breakfast at Tiffany's (1961)
903,Vertigo (1958)
904,Rear Window (1954)
905,It Happened One Night (1934)
906,Gaslight (1944)
907,"Gay Divorcee, The (1934)"
908,North by Northwest (1959)
909,"Apartment, The (1960)"
910,Some Like It Hot (1959)
911,Charade (1963)
912,Casablanca (1942)
913,"Maltese Falcon, The (1941)"
914,My Fair Lady (1964)
915,Sabrina (1954)
916,Roman Holiday (1953)
917,"Little Princess, The (1939)"
918,Meet Me in St. Louis (1944)
919,"Wizard of Oz, The (1939)"
920,Gone with the Wind (1939)
921,My Favorite Year (1982)
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
923,Citizen Kane (1941)
924,2001: A Space Odyssey (1968)
925,Golden Earrings (1947)
926,All About Eve (1950)
927,"Women, The (1939)"
928,Rebecca (1940)
929,Foreign Correspondent (1940)
930,Notorious (1946)
931,Spellbound (1945)
932,"Affair to Remember, An (1957)"
933,To Catch a Thief (1955)
934,Father of the Bride (1950)
935,"Band Wagon, The (1953)"
936,Ninotchka (1939)
937,Love in the Afternoon (1957)
938,Gigi (1958)
940,"Adventures of Robin Hood, The (1938)"
941,"Mark of Zorro, The (1940)"
942,Laura (1944)
943,"Ghost and Mrs. Muir, The (1947)"
944,Lost Horizon (1937)
945,Top Hat (1935)
946,To Be or Not to Be (1942)
947,My Man Godfrey (1936)
948,Giant (1956)
949,East of Eden (1955)
950,"Thin Man, The (1934)"
951,His Girl Friday (1940)
952,Around the World in 80 Days (1956)
953,It's a Wonderful Life (1946)
954,Mr. Smith Goes to Washington (1939)
955,Bringing Up Baby (1938)
956,Penny Serenade (1941)
957,"Scarlet Letter, The (1926)"
959,Of Human Bondage (1934)
960,Angel on My Shoulder (1946)
961,Little Lord Fauntleroy (1936)
963,"Inspector General, The (1949)"
964,Angel and the Badman (1947)
965,"39 Steps, The (1935)"
967,"Outlaw, The (1943)"
968,Night of the Living Dead (1968)
969,"African Queen, The (1951)"
970,Beat the Devil (1953)
971,Cat on a Hot Tin Roof (1958)
973,Meet John Doe (1941)
974,Algiers (1938)
975,Something to Sing About (1937)
976,"Farewell to Arms, A (1932)"
981,Dangerous Ground (1997)
982,Picnic (1955)
984,"Pompatus of Love, The (1996)"
986,Fly Away Home (1996)
987,Bliss (1997)
988,Grace of My Heart (1996)
989,Brother of Sleep (Schlafes Bruder) (1995)
990,Maximum Risk (1996)
991,Michael Collins (1996)
992,"Rich Man's Wife, The (1996)"
993,Infinity (1996)
994,Big Night (1996)
996,Last Man Standing (1996)
997,Caught (1996)
998,Set It Off (1996)
999,2 Days in the Valley (1996)
1000,Curdled (1996)
1002,Ed's Next Move (1996)
1003,Extreme Measures (1996)
1004,"Glimmer Man, The (1996)"
1005,D3: The Mighty Ducks (1996)
1006,"Chamber, The (1996)"
1007,"Apple Dumpling Gang, The (1975)"
1008,"Davy Crockett, King of the Wild Frontier (1955)"
1009,Escape to Witch Mountain (1975)
1010,"Love Bug, The (1969)"
1011,Herbie Rides Again (1974)
1012,Old Yeller (1957)
1013,"Parent Trap, The (1961)"
1014,Pollyanna (1960)
1015,Homeward Bound: The Incredible Journey (1993)
1016,"Shaggy Dog, The (1959)"
1017,Swiss Family Robinson (1960)
1018,That Darn Cat! (1965)
1019,"20,000 Leagues Under the Sea (1954)"
1020,Cool Runnings (1993)
1021,Angels in the Outfield (1994)
1022,Cinderella (1950)
1023,Winnie the Pooh and the Blustery Day (1968)
1024,"Three Caballeros, The (1945)"
1025,"Sword in the Stone, The (1963)"
1026,So Dear to My Heart (1949)
1027,Robin Hood: Prince of Thieves (1991)
1028,Mary Poppins (1964)
1029,Dumbo (1941)
1030,Pete's Dragon (1977)
1031,Bedknobs and Broomsticks (1971)
1032,Alice in Wonderland (1951)
1033,"Fox and the Hound, The (1981)"
1034,Freeway (1996)
1035,"Sound of Music, The (1965)"
1036,Die Hard (1988)
1037,"Lawnmower Man, The (1992)"
1038,Unhook the Stars (1996)
1040,"Secret Agent, The (1996)"
1041,Secrets & Lies (1996)
1042,That Thing You Do! (1996)
