Case,No,Task,CC1,GN1,NS1,BU1,FA1,LD1,BZ1,FC1,FP1,RP1,PP1,KA1,SC1,TS1,NV1,MA1,LB1,AF1,HU1,Price1,CC2,GN2,NS2,BU2,FA2,LD2,BZ2,FC2,FP2,RP2,PP2,KA2,SC2,TS2,NV2,MA2,LB2,AF2,HU2,Price2,CC3,GN3,NS3,BU3,FA3,LD3,BZ3,FC3,FP3,RP3,PP3,KA3,SC3,TS3,NV3,MA3,LB3,AF3,HU3,Price3,CC4,GN4,NS4,BU4,FA4,LD4,BZ4,FC4,FP4,RP4,PP4,KA4,SC4,TS4,NV4,MA4,LB4,AF4,HU4,Price4,Ch1,Ch2,Ch3,Ch4,segment,segmentind,year,yearind,miles,milesind,milesa,night,nightind,nighta,gender,genderind,age,ageind,agea,educ,educind,region,regionind,Urb,Urbind,income,incomeind,incomea,Choice
1,15,15,3,0,0,0,1,0,2,0,2,0,3,2,0,0,1,0,4,3,0,6,1,0,0,0,1,0,1,0,2,0,1,1,0,0,1,0,4,2,0,3,1,0,0,0,2,0,2,0,3,0,1,2,0,0,1,0,1,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,16,16,1,2,0,0,0,0,1,2,1,0,0,0,2,0,2,4,0,0,2,8,1,2,0,0,0,0,2,1,1,0,0,0,2,0,2,3,0,0,2,10,2,1,0,0,0,0,3,2,1,0,0,0,4,0,2,2,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch3
1,17,17,0,0,3,1,0,1,0,0,2,2,2,2,0,3,0,0,0,3,0,9,0,0,3,6,0,2,0,0,3,1,3,1,0,2,0,0,0,3,0,6,0,0,1,4,0,1,0,0,4,1,1,2,0,2,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,18,18,3,2,3,1,0,0,0,0,0,0,1,0,0,0,2,0,3,3,1,7,3,1,5,1,0,0,0,0,0,0,1,0,0,0,1,0,2,3,2,2,2,1,3,2,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,19,19,0,0,0,0,1,2,3,2,0,2,0,2,3,1,0,1,0,0,0,8,0,0,0,0,1,1,1,1,0,2,0,2,4,3,0,1,0,0,0,2,0,0,0,0,1,2,3,1,0,2,0,2,2,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
2,20,1,2,0,1,0,1,0,0,0,0,0,1,0,3,1,0,2,2,3,0,1,3,0,4,0,1,0,0,0,0,0,2,0,4,2,0,1,2,1,0,2,1,0,1,0,1,0,0,0,0,0,2,0,4,2,0,2,4,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch2
2,21,2,0,1,0,2,0,0,3,1,4,2,2,2,0,0,0,0,0,0,1,1,0,2,0,1,0,0,1,1,3,1,3,1,0,0,0,0,0,0,1,8,0,1,0,4,0,0,3,1,3,1,1,1,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch1
2,22,3,0,0,1,6,0,3,2,0,1,0,0,0,4,0,1,3,0,1,0,12,0,0,2,5,0,2,1,0,1,0,0,0,3,0,3,2,0,2,0,5,0,0,4,6,0,1,3,0,2,0,0,0,3,0,3,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch4
2,23,4,1,1,0,0,2,1,0,0,0,2,0,1,0,2,1,0,0,0,1,4,3,2,0,0,2,1,0,0,0,2,0,2,0,2,1,0,0,0,1,1,2,2,0,0,2,3,0,0,0,1,0,2,0,2,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch3
2,24,5,3,0,1,1,0,0,2,2,4,2,0,0,0,3,0,0,2,0,0,11,1,0,5,6,0,0,1,1,4,2,0,0,0,3,0,0,2,0,0,3,3,0,2,3,0,0,2,1,2,2,0,0,0,3,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch4
2,25,6,0,2,0,0,1,0,0,2,0,0,1,2,2,0,2,0,4,0,2,5,0,1,0,0,2,0,0,1,0,0,3,2,1,0,2,0,4,0,2,9,0,1,0,0,1,0,0,2,0,0,2,1,4,0,1,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch3
2,26,7,0,1,0,0,1,1,0,0,4,0,0,0,0,1,0,3,2,2,1,7,0,2,0,0,2,3,0,0,3,0,0,0,0,1,0,1,4,2,2,4,0,2,0,0,2,1,0,0,4,0,0,0,0,2,0,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch4
2,27,8,3,0,0,4,0,0,0,1,0,1,2,1,3,0,0,1,0,1,0,4,3,0,0,2,0,0,0,1,0,1,2,1,4,0,0,1,0,2,0,7,3,0,0,1,0,0,0,2,0,2,1,2,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch1
2,28,9,0,0,5,0,0,3,1,0,2,1,0,1,3,0,1,0,3,0,0,8,0,0,2,0,0,3,2,0,1,1,0,1,3,0,2,0,1,0,0,8,0,0,1,0,0,1,1,0,2,2,0,1,4,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch4
2,29,10,0,0,0,2,1,3,2,1,0,0,3,0,0,3,3,0,0,1,0,11,0,0,0,6,1,2,2,1,0,0,2,0,0,3,3,0,0,3,0,3,0,0,0,6,1,3,1,1,0,0,2,0,0,3,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch3
2,30,11,2,2,2,0,0,0,3,0,0,2,0,0,0,1,0,3,0,1,2,2,2,2,5,0,0,0,2,0,0,1,0,0,0,3,0,3,0,3,1,8,3,1,3,0,0,0,2,0,0,2,0,0,0,2,0,1,0,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch4
2,31,12,3,0,2,1,2,0,0,0,2,0,0,2,0,0,3,3,0,0,1,9,1,0,1,2,2,0,0,0,2,0,0,2,0,0,3,4,0,0,1,6,1,0,4,6,1,0,0,0,4,0,0,2,0,0,1,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch4
2,32,13,3,2,0,5,0,1,0,1,0,0,1,0,2,0,0,4,4,0,0,12,3,2,0,4,0,2,0,2,0,0,1,0,4,0,0,1,3,0,0,8,2,2,0,3,0,1,0,2,0,0,3,0,2,0,0,1,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch4
2,33,14,0,0,0,0,0,1,0,1,4,0,3,0,1,2,1,0,0,2,1,6,0,0,0,0,0,3,0,2,2,0,2,0,4,1,1,0,0,3,2,8,0,0,0,0,0,3,0,1,4,0,1,0,4,3,1,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch4
2,34,15,0,1,2,0,1,0,1,1,0,1,0,1,0,0,0,0,1,3,0,5,0,2,2,0,2,0,2,1,0,2,0,2,0,0,0,0,4,3,0,10,0,2,5,0,2,0,2,2,0,2,0,2,0,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch4
2,35,16,0,1,2,0,2,0,0,0,3,2,2,0,1,0,2,2,0,0,0,3,0,2,5,0,2,0,0,0,4,2,3,0,3,0,3,3,0,0,0,3,0,1,5,0,1,0,0,0,3,1,2,0,4,0,1,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch4
2,36,17,2,0,0,4,0,1,1,0,0,0,0,2,0,3,0,3,4,0,2,5,1,0,0,6,0,3,3,0,0,0,0,1,0,2,0,4,2,0,2,8,1,0,0,5,0,1,2,0,0,0,0,1,0,2,0,2,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch4
2,37,18,0,0,0,6,2,0,2,0,0,1,2,0,4,0,0,0,1,3,1,4,0,0,0,6,2,0,3,0,0,1,2,0,1,0,0,0,4,3,2,12,0,0,0,2,2,0,3,0,0,1,1,0,2,0,0,0,4,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch1
2,38,19,1,1,5,0,0,3,0,2,1,0,0,2,0,3,3,0,0,0,0,6,1,2,1,0,0,3,0,2,2,0,0,1,0,1,3,0,0,0,0,2,3,1,5,0,0,1,0,2,3,0,0,2,0,3,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Midsize Utility,4,2001,2,351 To 400 Miles,8,400,51% To 60%,6,55,Male,2,30 To 39,2,33,College Graduate (4 Years),1,W,5,Urban/City,3,"$70,000 to $79,999",6,75000,Ch4
3,39,1,0,0,5,0,2,2,2,2,0,0,3,1,3,2,0,0,0,0,0,9,0,0,1,0,1,3,2,1,0,0,1,2,4,2,0,0,0,0,0,7,0,0,3,0,1,1,3,1,0,0,1,1,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Small Car,6,2002,3,151 To 200 Miles,4,160,Under 10%,1,2,Female,1,40 To 49,3,45,Some College (1-3 Years),5,SE,3,Rural/Country,1,"$30,000 to $39,999",2,35000,Ch2
3,40,2,0,2,0,5,0,0,2,0,4,1,0,0,0,0,1,3,0,1,2,7,0,2,0,2,0,0,2,0,4,1,0,0,0,0,1,4,0,1,2,12,0,1,0,1,0,0,1,0,3,1,0,0,0,0,3,1,0,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Small Car,6,2002,3,151 To 200 Miles,4,160,Under 10%,1,2,Female,1,40 To 49,3,45,Some College (1-3 Years),5,SE,3,Rural/Country,1,"$30,000 to $39,999",2,35000,Ch2
3,41,3,0,2,0,2,0,2,2,1,2,2,0,0,4,0,0,0,4,0,0,10,0,2,0,6,0,2,1,1,2,2,0,0,3,0,0,0,1,0,0,10,0,1,0,1,0,3,1,2,1,1,0,0,1,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Small Car,6,2002,3,151 To 200 Miles,4,160,Under 10%,1,2,Female,1,40 To 49,3,45,Some College (1-3 Years),5,SE,3,Rural/Country,1,"$30,000 to $39,999",2,35000,Ch1
3,42,4,0,0,3,0,2,0,0,0,0,0,0,1,0,2,2,2,3,1,1,2,0,0,3,0,1,0,0,0,0,0,0,1,0,3,1,1,4,2,2,10,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,2,1,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Small Car,6,2002,3,151 To 200 Miles,4,160,Under 10%,1,2,Female,1,40 To 49,3,45,Some College (1-3 Years),5,SE,3,Rural/Country,1,"$30,000 to $39,999",2,35000,Ch3
3,43,5,3,0,0,3,2,0,0,1,4,0,2,1,0,0,0,0,2,0,1,4,3,0,0,2,1,0,0,1,4,0,3,1,0,0,0,0,2,0,2,9,2,0,0,1,2,0,0,2,3,0,3,1,0,0,0,0,2,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Small Car,6,2002,3,151 To 200 Miles,4,160,Under 10%,1,2,Female,1,40 To 49,3,45,Some College (1-3 Years),5,SE,3,Rural/Country,1,"$30,000 to $39,999",2,35000,Ch1
3,44,6,3,2,1,0,0,0,0,0,0,1,1,0,3,3,0,4,0,3,0,11,1,1,5,0,0,0,0,0,0,1,1,0,1,2,0,4,0,2,0,8,3,2,4,0,0,0,0,0,0,2,1,0,4,3,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Small Car,6,2002,3,151 To 200 Miles,4,160,Under 10%,1,2,Female,1,40 To 49,3,45,Some College (1-3 Years),5,SE,3,Rural/Country,1,"$30,000 to $39,999",2,35000,Ch3
3,45,7,0,0,0,0,0,2,3,0,0,0,1,0,3,1,2,2,1,0,2,11,0,0,0,0,0,3,2,0,0,0,2,0,2,3,1,2,4,0,1,8,0,0,0,0,0,3,2,0,0,0,1,0,4,1,2,3,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Small Car,6,2002,3,151 To 200 Miles,4,160,Under 10%,1,2,Female,1,40 To 49,3,45,Some College (1-3 Years),5,SE,3,Rural/Country,1,"$30,000 to $39,999",2,35000,Ch3
3,46,8,0,0,3,3,2,2,3,2,4,0,0,0,0,0,1,0,0,3,0,7,0,0,4,5,2,2,2,1,2,0,0,0,0,0,1,0,0,1,0,9,0,0,5,6,1,1,3,2,3,0,0,0,0,0,2,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Small Car,6,2002,3,151 To 200 Miles,4,160,Under 10%,1,2,Female,1,40 To 49,3,45,Some College (1-3 Years),5,SE,3,Rural/Country,1,"$30,000 to $39,999",2,35000,Ch2
3,47,9,1,1,0,0,0,0,3,2,0,1,2,2,0,0,0,0,0,2,2,2,2,2,0,0,0,0,3,2,0,2,3,2,0,0,0,0,0,3,2,2,1,2,0,0,0,0,3,1,0,2,2,2,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Small Car,6,2002,3,151 To 200 Miles,4,160,Under 10%,1,2,Female,1,40 To 49,3,45,Some College (1-3 Years),5,SE,3,Rural/Country,1,"$30,000 to $39,999",2,35000,Ch1
