Team,League,Year,Games,W,RS,RA,OBP,SLG,BA,OPS,OOBP,OSLG,OOPS,Playoffs,RankSeason,RankPlayoffs
CLE,AL,2011,162,80,704,760,0.317,0.396,0.25,0.713,0.323,0.413,0.736,0,,
COL,NL,2011,162,73,735,774,0.329,0.41,0.258,0.739,0.331,0.431,0.762,0,,
DET,AL,2011,162,95,787,711,0.34,0.434,0.277,0.774,0.321,0.396,0.717,1,4,3
FLA,NL,2011,162,72,625,702,0.318,0.388,0.247,0.706,0.316,0.401,0.717,0,,
HOU,NL,2011,162,56,615,796,0.311,0.374,0.258,0.685,0.337,0.432,0.769,0,,
KCR,AL,2011,162,71,730,762,0.329,0.415,0.275,0.744,0.337,0.425,0.762,0,,
LAA,AL,2011,162,86,667,633,0.313,0.402,0.253,0.715,0.313,0.388,0.701,0,,
LAD,NL,2011,161,82,644,612,0.322,0.375,0.257,0.697,0.31,0.371,0.681,0,,
MIL,NL,2011,162,96,721,638,0.325,0.425,0.261,0.75,0.304,0.385,0.689,1,3,3
MIN,AL,2011,162,63,619,804,0.306,0.36,0.247,0.666,0.34,0.435,0.775,0,,
NYM,NL,2011,162,77,718,742,0.335,0.391,0.264,0.726,0.332,0.411,0.743,0,,
NYY,AL,2011,162,97,867,657,0.343,0.444,0.263,0.787,0.322,0.399,0.721,1,2,4
OAK,AL,2011,162,74,645,679,0.311,0.369,0.244,0.68,0.317,0.378,0.695,0,,
PHI,NL,2011,162,102,713,529,0.323,0.395,0.253,0.718,0.296,0.361,0.657,1,1,4
PIT,NL,2011,162,72,610,712,0.309,0.368,0.244,0.677,0.338,0.409,0.747,0,,
SDP,NL,2011,162,71,593,611,0.305,0.349,0.237,0.654,0.314,0.375,0.689,0,,
SEA,AL,2011,162,67,556,675,0.292,0.348,0.233,0.64,0.31,0.386,0.696,0,,
SFG,NL,2011,162,86,570,578,0.303,0.368,0.242,0.671,0.309,0.346,0.655,0,,
STL,NL,2011,162,90,762,692,0.341,0.425,0.273,0.766,0.319,0.398,0.717,1,7,1
TBR,AL,2011,162,91,707,614,0.322,0.402,0.244,0.724,0.303,0.383,0.686,1,6,4
TEX,AL,2011,162,96,855,677,0.34,0.46,0.283,0.8,0.307,0.392,0.699,1,3,2
TOR,AL,2011,162,81,743,761,0.317,0.413,0.249,0.73,0.328,0.419,0.747,0,,
WSN,NL,2011,161,80,624,643,0.309,0.383,0.242,0.692,0.319,0.382,0.701,0,,
ARI,NL,2010,162,65,713,836,0.325,0.416,0.25,0.741,0.34,0.448,0.788,0,,
ATL,NL,2010,162,91,738,629,0.339,0.401,0.258,0.74,0.314,0.376,0.69,1,6,4
BAL,AL,2010,162,66,613,785,0.316,0.386,0.259,0.702,0.336,0.434,0.77,0,,
BOS,AL,2010,162,89,818,744,0.339,0.451,0.268,0.79,0.327,0.399,0.726,0,,
CHC,NL,2010,162,75,685,767,0.32,0.401,0.257,0.721,0.334,0.398,0.732,0,,
CHW,AL,2010,162,88,752,704,0.332,0.42,0.268,0.752,0.325,0.395,0.72,0,,
CIN,NL,2010,162,91,790,685,0.338,0.436,0.272,0.774,0.323,0.396,0.719,1,6,4
CLE,AL,2010,162,69,646,752,0.322,0.378,0.248,0.7,0.342,0.416,0.758,0,,
COL,NL,2010,162,83,770,717,0.336,0.425,0.263,0.761,0.326,0.397,0.723,0,,
DET,AL,2010,162,81,751,743,0.335,0.415,0.268,0.75,0.332,0.4,0.732,0,,
FLA,NL,2010,162,80,719,717,0.321,0.403,0.254,0.724,0.331,0.398,0.729,0,,
HOU,NL,2010,162,76,611,729,0.303,0.362,0.247,0.665,0.33,0.402,0.732,0,,
KCR,AL,2010,162,67,676,845,0.331,0.399,0.274,0.73,0.342,0.435,0.777,0,,
LAA,AL,2010,162,80,681,702,0.311,0.39,0.248,0.701,0.327,0.403,0.73,0,,
LAD,NL,2010,162,80,667,692,0.322,0.379,0.252,0.701,0.316,0.378,0.694,0,,
MIL,NL,2010,162,77,750,804,0.335,0.424,0.262,0.759,0.338,0.427,0.765,0,,
MIN,AL,2010,162,94,781,671,0.341,0.422,0.273,0.763,0.317,0.417,0.734,1,4,4
NYM,NL,2010,162,79,656,652,0.314,0.383,0.249,0.697,0.33,0.394,0.724,0,,
NYY,AL,2010,162,95,859,693,0.35,0.436,0.267,0.786,0.322,0.399,0.721,1,3,3
OAK,AL,2010,162,81,663,626,0.324,0.378,0.256,0.702,0.313,0.379,0.692,0,,
PHI,NL,2010,162,97,772,640,0.332,0.413,0.26,0.745,0.311,0.405,0.716,1,1,3
PIT,NL,2010,162,57,587,866,0.304,0.373,0.242,0.677,0.348,0.449,0.797,0,,
SDP,NL,2010,162,90,665,581,0.317,0.371,0.246,0.688,0.308,0.368,0.676,0,,
SEA,AL,2010,162,61,513,698,0.298,0.339,0.236,0.637,0.313,0.401,0.714,0,,
SFG,NL,2010,162,92,697,583,0.321,0.408,0.257,0.729,0.313,0.37,0.683,1,5,1
STL,NL,2010,162,86,736,641,0.332,0.402,0.263,0.734,0.319,0.387,0.706,0,,
TBR,AL,2010,162,96,802,649,0.333,0.403,0.247,0.736,0.308,0.404,0.712,1,2,4
TEX,AL,2010,162,90,787,687,0.338,0.419,0.276,0.757,0.319,0.39,0.709,1,7,2
TOR,AL,2010,162,85,755,728,0.312,0.454,0.248,0.766,0.326,0.405,0.731,0,,
WSN,NL,2010,162,69,655,742,0.318,0.39,0.25,0.708,0.33,0.41,0.74,0,,
ARI,NL,2009,162,70,720,782,0.324,0.418,0.253,0.742,0.33,0.419,0.749,0,,
ATL,NL,2009,162,86,735,641,0.339,0.405,0.263,0.744,0.323,0.39,0.713,0,,
BAL,AL,2009,162,64,741,876,0.332,0.415,0.268,0.747,0.353,0.476,0.829,0,,
BOS,AL,2009,162,95,872,736,0.352,0.454,0.27,0.806,0.335,0.422,0.757,1,3,4
CHC,NL,2009,161,83,707,672,0.332,0.407,0.255,0.739,0.324,0.391,0.715,0,,
CHW,AL,2009,162,79,724,732,0.329,0.411,0.258,0.74,0.325,0.414,0.739,0,,
CIN,NL,2009,162,78,673,723,0.318,0.394,0.247,0.712,0.333,0.418,0.751,0,,
CLE,AL,2009,162,65,773,865,0.339,0.417,0.264,0.756,0.351,0.443,0.794,0,,
COL,NL,2009,162,92,804,715,0.343,0.441,0.261,0.784,0.328,0.405,0.733,1,5,4
DET,AL,2009,163,86,743,745,0.331,0.416,0.26,0.747,0.336,0.422,0.758,0,,
FLA,NL,2009,162,87,772,766,0.34,0.416,0.268,0.756,0.333,0.408,0.741,0,,
HOU,NL,2009,162,74,643,770,0.319,0.4,0.26,0.719,0.344,0.44,0.784,0,,
KCR,AL,2009,162,65,686,842,0.318,0.405,0.259,0.723,0.343,0.422,0.765,0,,
LAA,AL,2009,162,97,883,761,0.35,0.441,0.285,0.791,0.338,0.432,0.77,1,2,3
LAD,NL,2009,162,95,780,611,0.346,0.412,0.27,0.758,0.312,0.361,0.673,1,3,3
MIL,NL,2009,162,80,785,818,0.341,0.426,0.263,0.767,0.345,0.45,0.795,0,,
MIN,AL,2009,163,87,817,765,0.345,0.429,0.274,0.774,0.331,0.431,0.762,1,7,4
NYM,NL,2009,162,70,671,757,0.335,0.394,0.27,0.729,0.342,0.418,0.76,0,,
NYY,AL,2009,162,103,915,753,0.362,0.478,0.283,0.84,0.327,0.408,0.735,1,1,1
OAK,AL,2009,162,75,759,761,0.328,0.397,0.262,0.725,0.329,0.413,0.742,0,,
PHI,NL,2009,162,93,820,709,0.334,0.447,0.258,0.781,0.329,0.427,0.756,1,4,2
PIT,NL,2009,161,62,636,768,0.318,0.387,0.252,0.705,0.346,0.442,0.788,0,,
SDP,NL,2009,162,75,638,769,0.321,0.381,0.242,0.702,0.333,0.406,0.739,0,,
SEA,AL,2009,162,85,640,692,0.314,0.402,0.258,0.716,0.316,0.394,0.71,0,,
SFG,NL,2009,162,88,657,611,0.309,0.389,0.257,0.698,0.314,0.372,0.686,0,,
STL,NL,2009,162,91,730,640,0.332,0.415,0.263,0.747,0.319,0.386,0.705,1,6,4
TBR,AL,2009,162,84,803,754,0.343,0.439,0.263,0.782,0.324,0.417,0.741,0,,
TEX,AL,2009,162,87,784,740,0.32,0.445,0.26,0.765,0.331,0.416,0.747,0,,
TOR,AL,2009,162,75,798,771,0.333,0.44,0.266,0.773,0.339,0.434,0.773,0,,
WSN,NL,2009,162,59,710,874,0.337,0.406,0.258,0.743,0.352,0.45,0.802,0,,
ARI,NL,2008,162,82,720,706,0.327,0.415,0.251,0.742,0.318,0.398,0.716,0,,
ATL,NL,2008,162,72,753,778,0.345,0.408,0.27,0.753,0.336,0.423,0.759,0,,
BAL,AL,2008,161,68,782,869,0.333,0.429,0.267,0.762,0.361,0.435,0.796,0,,
BOS,AL,2008,162,95,845,694,0.358,0.447,0.28,0.805,0.323,0.39,0.713,1,3,3
CHC,NL,2008,161,97,855,671,0.354,0.443,0.278,0.797,0.316,0.395,0.711,1,2,4
CHW,AL,2008,163,89,811,729,0.332,0.448,0.263,0.78,0.32,0.41,0.73,1,6,4
CIN,NL,2008,162,74,704,800,0.321,0.408,0.247,0.729,0.345,0.45,0.795,0,,
CLE,AL,2008,162,81,805,761,0.339,0.424,0.262,0.763,0.33,0.424,0.754,0,,
COL,NL,2008,162,74,747,822,0.336,0.415,0.263,0.751,0.344,0.431,0.775,0,,
DET,AL,2008,162,74,821,857,0.34,0.444,0.271,0.784,0.353,0.437,0.79,0,,
FLA,NL,2008,161,84,770,767,0.326,0.433,0.254,0.759,0.333,0.407,0.74,0,,
HOU,NL,2008,161,86,712,743,0.323,0.415,0.263,0.738,0.328,0.44,0.768,0,,
KCR,AL,2008,162,75,691,781,0.32,0.397,0.269,0.717,0.328,0.415,0.743,0,,
LAA,AL,2008,162,100,765,697,0.33,0.413,0.268,0.743,0.323,0.406,0.729,1,1,4
LAD,NL,2008,162,84,700,648,0.333,0.399,0.264,0.732,0.315,0.376,0.691,1,7,3
MIL,NL,2008,162,90,750,689,0.325,0.431,0.253,0.756,0.323,0.406,0.729,1,5,4
MIN,AL,2008,163,88,829,745,0.34,0.408,0.279,0.748,0.324,0.431,0.755,0,,
NYM,NL,2008,162,89,799,715,0.34,0.42,0.266,0.76,0.331,0.397,0.728,0,,
NYY,AL,2008,162,89,789,727,0.342,0.427,0.271,0.769,0.329,0.405,0.734,0,,
OAK,AL,2008,161,75,646,690,0.318,0.369,0.242,0.687,0.328,0.392,0.72,0,,
PHI,NL,2008,162,92,799,680,0.332,0.438,0.255,0.77,0.329,0.41,0.739,1,4,1
PIT,NL,2008,162,67,735,884,0.32,0.403,0.258,0.723,0.362,0.454,0.816,0,,
SDP,NL,2008,162,63,637,764,0.317,0.39,0.25,0.707,0.332,0.409,0.741,0,,
SEA,AL,2008,162,61,671,811,0.318,0.389,0.265,0.707,0.351,0.433,0.784,0,,
SFG,NL,2008,162,72,640,759,0.321,0.382,0.262,0.703,0.341,0.404,0.745,0,,
STL,NL,2008,162,86,779,725,0.35,0.433,0.281,0.783,0.332,0.431,0.763,0,,
TBR,AL,2008,162,97,774,671,0.34,0.422,0.26,0.762,0.314,0.4,0.714,1,2,2
TEX,AL,2008,162,79,901,967,0.354,0.462,0.283,0.816,0.362,0.455,0.817,0,,
TOR,AL,2008,162,86,714,610,0.331,0.399,0.264,0.73,0.309,0.38,0.689,0,,
WSN,NL,2008,161,59,641,825,0.323,0.373,0.251,0.696,0.343,0.436,0.779,0,,
ARI,NL,2007,162,90,712,732,0.321,0.413,0.25,0.734,0.334,0.42,0.754,1,3,3
ATL,NL,2007,162,84,810,733,0.339,0.435,0.275,0.774,0.327,0.415,0.742,0,,
BAL,AL,2007,162,69,756,868,0.333,0.412,0.272,0.745,0.354,0.412,0.766,0,,
BOS,AL,2007,162,96,867,657,0.362,0.444,0.279,0.806,0.314,0.392,0.706,1,1,1
CHC,NL,2007,162,85,752,690,0.333,0.422,0.271,0.755,0.322,0.399,0.721,1,5,4
CHW,AL,2007,162,72,693,839,0.318,0.404,0.246,0.722,0.338,0.435,0.773,0,,
CIN,NL,2007,162,72,783,853,0.335,0.436,0.267,0.771,0.343,0.456,0.799,0,,
CLE,AL,2007,162,96,811,704,0.343,0.428,0.268,0.771,0.322,0.407,0.729,1,1,3
COL,NL,2007,163,90,860,758,0.354,0.437,0.28,0.791,0.33,0.423,0.753,1,3,2
DET,AL,2007,162,88,887,797,0.345,0.458,0.287,0.803,0.338,0.427,0.765,0,,
FLA,NL,2007,162,71,790,891,0.336,0.448,0.267,0.784,0.364,0.442,0.806,0,,
HOU,NL,2007,162,73,723,813,0.33,0.412,0.26,0.742,0.337,0.454,0.791,0,,
KCR,AL,2007,162,69,706,778,0.322,0.388,0.261,0.71,0.339,0.445,0.784,0,,
LAA,AL,2007,162,94,822,731,0.345,0.417,0.284,0.762,0.328,0.412,0.74,1,2,4
LAD,NL,2007,162,82,735,727,0.337,0.406,0.275,0.743,0.326,0.399,0.725,0,,
MIL,NL,2007,162,83,801,776,0.329,0.456,0.262,0.785,0.333,0.422,0.755,0,,
MIN,AL,2007,162,79,718,725,0.33,0.391,0.264,0.721,0.324,0.431,0.755,0,,
NYM,NL,2007,162,88,804,750,0.342,0.432,0.275,0.774,0.329,0.409,0.738,0,,
NYY,AL,2007,162,94,968,777,0.366,0.463,0.29,0.829,0.34,0.417,0.757,1,2,4
OAK,AL,2007,162,76,741,758,0.338,0.407,0.256,0.745,0.329,0.404,0.733,0,,
PHI,NL,2007,162,89,892,821,0.354,0.458,0.274,0.812,0.346,0.451,0.797,1,4,4
PIT,NL,2007,162,68,724,846,0.325,0.411,0.263,0.736,0.352,0.447,0.799,0,,
SDP,NL,2007,163,89,741,666,0.322,0.411,0.251,0.733,0.311,0.374,0.685,0,,
SEA,AL,2007,162,88,794,813,0.337,0.425,0.287,0.762,0.349,0.431,0.78,0,,
SFG,NL,2007,162,71,683,720,0.322,0.387,0.254,0.709,0.334,0.405,0.739,0,,
STL,NL,2007,162,78,725,829,0.337,0.405,0.274,0.742,0.336,0.431,0.767,0,,
TBD,AL,2007,162,66,782,944,0.336,0.433,0.268,0.769,0.358,0.467,0.825,0,,
TEX,AL,2007,162,75,816,844,0.328,0.426,0.263,0.754,0.356,0.423,0.779,0,,
TOR,AL,2007,162,83,753,699,0.327,0.419,0.259,0.746,0.315,0.391,0.706,0,,
WSN,NL,2007,162,73,673,783,0.325,0.39,0.256,0.715,0.339,0.433,0.772,0,,
ARI,NL,2006,162,76,773,788,0.331,0.424,0.267,0.755,0.335,0.431,0.766,0,,
ATL,NL,2006,162,79,849,805,0.337,0.455,0.27,0.792,0.343,0.438,0.781,0,,
BAL,AL,2006,162,70,768,899,0.339,0.424,0.277,0.763,0.357,0.462,0.819,0,,
BOS,AL,2006,162,86,820,825,0.351,0.435,0.269,0.786,0.343,0.447,0.79,0,,
CHC,NL,2006,162,66,716,834,0.319,0.422,0.268,0.741,0.342,0.431,0.773,0,,
CHW,AL,2006,162,90,868,794,0.342,0.464,0.28,0.806,0.326,0.44,0.766,0,,
CIN,NL,2006,162,80,749,801,0.336,0.432,0.257,0.768,0.337,0.457,0.794,0,,
CLE,AL,2006,162,78,870,782,0.349,0.457,0.28,0.806,0.335,0.431,0.766,0,,
COL,NL,2006,162,76,813,812,0.341,0.433,0.27,0.774,0.346,0.438,0.784,0,,
DET,AL,2006,162,95,822,675,0.329,0.449,0.274,0.778,0.321,0.405,0.726,1,3,2
FLA,NL,2006,162,78,758,772,0.331,0.435,0.264,0.766,0.347,0.423,0.77,0,,
HOU,NL,2006,162,82,735,719,0.332,0.409,0.255,0.741,0.319,0.421,0.74,0,,
KCR,AL,2006,162,62,757,971,0.332,0.411,0.271,0.743,0.367,0.476,0.843,0,,
LAA,AL,2006,162,89,766,732,0.334,0.425,0.274,0.759,0.316,0.402,0.718,0,,
LAD,NL,2006,162,88,820,751,0.348,0.432,0.276,0.78,0.33,0.418,0.748,1,5,4
MIL,NL,2006,162,75,730,833,0.327,0.42,0.258,0.747,0.333,0.438,0.771,0,,
MIN,AL,2006,162,96,801,683,0.347,0.425,0.287,0.772,0.312,0.423,0.735,1,2,4
NYM,NL,2006,162,97,834,731,0.334,0.445,0.264,0.779,0.323,0.407,0.73,1,1,3
NYY,AL,2006,162,97,930,767,0.363,0.461,0.285,0.824,0.326,0.413,0.739,1,1,4
OAK,AL,2006,162,93,771,727,0.34,0.412,0.26,0.752,0.338,0.422,0.76,1,4,3
PHI,NL,2006,162,85,865,812,0.347,0.447,0.267,0.794,0.339,0.46,0.799,0,,
PIT,NL,2006,162,67,691,797,0.327,0.397,0.263,0.724,0.357,0.431,0.788,0,,
SDP,NL,2006,162,88,731,679,0.332,0.416,0.263,0.748,0.312,0.404,0.716,1,5,4
SEA,AL,2006,162,78,756,792,0.325,0.424,0.272,0.749,0.337,0.432,0.769,0,,
SFG,NL,2006,161,76,746,790,0.324,0.422,0.259,0.746,0.337,0.415,0.752,0,,
STL,NL,2006,161,83,781,762,0.337,0.431,0.269,0.768,0.337,0.443,0.78,1,6,1
TBD,AL,2006,162,61,689,856,0.314,0.42,0.255,0.734,0.358,0.452,0.81,0,,
TEX,AL,2006,162,80,835,784,0.338,0.446,0.278,0.784,0.341,0.424,0.765,0,,
TOR,AL,2006,162,87,809,754,0.348,0.463,0.284,0.811,0.328,0.422,0.75,0,,
WSN,NL,2006,162,71,746,872,0.338,0.418,0.262,0.756,0.349,0.447,0.796,0,,
ARI,NL,2005,162,77,696,856,0.332,0.421,0.256,0.753,0.345,0.455,0.8,0,,
ATL,NL,2005,162,90,769,674,0.333,0.435,0.265,0.768,0.333,0.406,0.739,1,4,4
BAL,AL,2005,162,74,729,800,0.327,0.434,0.269,0.761,0.336,0.416,0.752,0,,
BOS,AL,2005,162,95,910,805,0.357,0.454,0.281,0.811,0.335,0.441,0.776,1,3,4
CHC,NL,2005,162,79,703,714,0.324,0.44,0.27,0.764,0.325,0.407,0.732,0,,
CHW,AL,2005,162,99,741,645,0.322,0.425,0.262,0.747,0.31,0.397,0.707,1,2,1
CIN,NL,2005,163,73,820,889,0.339,0.446,0.261,0.785,0.352,0.483,0.835,0,,
CLE,AL,2005,162,93,790,642,0.334,0.453,0.271,0.787,0.302,0.387,0.689,0,,
COL,NL,2005,162,67,740,862,0.333,0.411,0.267,0.744,0.362,0.457,0.819,0,,
DET,AL,2005,162,71,723,787,0.321,0.428,0.272,0.749,0.33,0.436,0.766,0,,
FLA,NL,2005,162,83,717,732,0.339,0.409,0.272,0.748,0.339,0.402,0.741,0,,
HOU,NL,2005,163,89,693,609,0.322,0.408,0.256,0.73,0.308,0.389,0.697,1,5,2
KCR,AL,2005,162,56,701,935,0.32,0.396,0.263,0.716,0.362,0.463,0.825,0,,
LAA,AL,2005,162,95,761,643,0.325,0.409,0.27,0.734,0.312,0.401,0.713,1,3,3
LAD,NL,2005,162,71,685,755,0.326,0.395,0.253,0.721,0.327,0.429,0.756,0,,
MIL,NL,2005,162,81,726,697,0.331,0.423,0.259,0.754,0.324,0.408,0.732,0,,
MIN,AL,2005,162,83,688,662,0.323,0.391,0.259,0.714,0.307,0.408,0.715,0,,
NYM,NL,2005,162,83,722,648,0.322,0.416,0.258,0.738,0.321,0.387,0.708,0,,
NYY,AL,2005,162,95,886,789,0.355,0.45,0.276,0.805,0.332,0.422,0.754,1,3,4
OAK,AL,2005,162,88,772,658,0.33,0.407,0.262,0.737,0.311,0.382,0.693,0,,
PHI,NL,2005,162,88,807,726,0.348,0.423,0.27,0.771,0.32,0.426,0.746,0,,
PIT,NL,2005,162,67,680,769,0.322,0.4,0.259,0.722,0.344,0.424,0.768,0,,
SDP,NL,2005,162,82,684,726,0.333,0.391,0.257,0.724,0.322,0.408,0.73,1,6,4
SEA,AL,2005,162,69,699,751,0.317,0.391,0.256,0.708,0.332,0.422,0.754,0,,
SFG,NL,2005,162,75,649,745,0.319,0.396,0.261,0.715,0.336,0.412,0.748,0,,
STL,NL,2005,162,100,805,634,0.339,0.423,0.27,0.762,0.318,0.398,0.716,1,1,3
TBD,AL,2005,162,67,750,936,0.329,0.425,0.274,0.754,0.355,0.455,0.81,0,,
TEX,AL,2005,162,79,865,858,0.329,0.468,0.267,0.797,0.343,0.428,0.771,0,,
TOR,AL,2005,162,80,775,705,0.331,0.407,0.265,0.738,0.324,0.418,0.742,0,,
WSN,NL,2005,162,81,639,673,0.322,0.386,0.252,0.708,0.333,0.396,0.729,0,,
ANA,AL,2004,162,92,836,734,0.341,0.429,0.282,0.77,0.326,0.415,0.741,1,6,4
ARI,NL,2004,162,51,615,899,0.31,0.393,0.253,0.703,0.35,0.439,0.789,0,,
ATL,NL,2004,162,96,803,668,0.343,0.434,0.27,0.777,0.329,0.4,0.729,1,4,4
BAL,AL,2004,162,78,842,830,0.345,0.432,0.281,0.777,0.348,0.404,0.752,0,,
BOS,AL,2004,162,98,949,768,0.36,0.472,0.282,0.832,0.318,0.408,0.726,1,3,1
CHC,NL,2004,162,89,789,665,0.328,0.458,0.268,0.786,0.321,0.395,0.716,0,,
CHW,AL,2004,162,83,865,831,0.333,0.457,0.268,0.79,0.338,0.453,0.791,0,,
CIN,NL,2004,162,76,750,907,0.331,0.418,0.25,0.749,0.348,0.481,0.829,0,,
CLE,AL,2004,162,80,858,857,0.351,0.444,0.276,0.795,0.342,0.445,0.787,0,,
COL,NL,2004,162,68,833,923,0.345,0.455,0.275,0.8,0.372,0.471,0.843,0,,
DET,AL,2004,162,72,827,844,0.337,0.449,0.272,0.786,0.34,0.441,0.781,0,,
FLA,NL,2004,162,83,718,700,0.329,0.406,0.264,0.735,0.324,0.412,0.736,0,,
HOU,NL,2004,162,92,803,698,0.342,0.436,0.267,0.778,0.328,0.417,0.745,1,6,3
KCR,AL,2004,162,58,720,905,0.322,0.397,0.259,0.719,0.352,0.476,0.828,0,,
LAD,NL,2004,162,93,761,684,0.332,0.423,0.262,0.755,0.323,0.408,0.731,1,5,4
MIL,NL,2004,161,67,634,757,0.321,0.387,0.248,0.708,0.32,0.417,0.737,0,,
MIN,AL,2004,162,92,780,715,0.332,0.431,0.266,0.763,0.323,0.406,0.729,1,6,4
MON,NL,2004,162,67,635,769,0.313,0.392,0.249,0.705,0.342,0.431,0.773,0,,
NYM,NL,2004,162,71,684,731,0.317,0.409,0.249,0.726,0.335,0.405,0.74,0,,
NYY,AL,2004,162,101,897,808,0.353,0.458,0.268,0.811,0.328,0.432,0.76,1,2,3
OAK,AL,2004,162,91,793,742,0.343,0.433,0.27,0.776,0.332,0.409,0.741,0,,
PHI,NL,2004,162,86,840,781,0.345,0.443,0.267,0.788,0.33,0.448,0.778,0,,
PIT,NL,2004,161,72,680,744,0.321,0.401,0.26,0.722,0.342,0.416,0.758,0,,
SDP,NL,2004,162,87,768,705,0.342,0.414,0.273,0.756,0.318,0.431,0.749,0,,
SEA,AL,2004,162,63,698,823,0.331,0.396,0.27,0.727,0.338,0.441,0.779,0,,
SFG,NL,2004,162,91,850,770,0.357,0.438,0.27,0.795,0.332,0.423,0.755,0,,
STL,NL,2004,162,105,855,659,0.344,0.46,0.278,0.804,0.313,0.403,0.716,1,1,2
TBD,AL,2004,161,70,714,842,0.32,0.405,0.258,0.725,0.342,0.438,0.78,0,,
TEX,AL,2004,162,89,860,794,0.329,0.457,0.266,0.786,0.344,0.432,0.776,0,,
TOR,AL,2004,161,67,719,823,0.328,0.403,0.26,0.731,0.348,0.434,0.782,0,,
ANA,AL,2003,162,77,736,743,0.33,0.413,0.268,0.743,0.327,0.421,0.748,0,,
ARI,NL,2003,162,84,717,685,0.33,0.417,0.263,0.747,0.322,0.388,0.71,0,,
ATL,NL,2003,162,101,907,740,0.349,0.475,0.284,0.824,0.327,0.401,0.728,1,1,4
BAL,AL,2003,163,71,743,820,0.323,0.405,0.268,0.728,0.346,0.446,0.792,0,,
