sentiment,tweet
5,I'm so ready. Disruptions: How Driverless Cars Could Reshape Cities the future!!
5,A driverless car invented by Google has completed over 300k miles and only had two accidents when humans in other cars hit it. GOOD MORNING!
5,I'm sooo excited for driverless cars! http://t.co/TRZ3qx6OG6
5,Pumped to see some driverless cars today @ejdub. This is going to be great!
5,I want a driverless Robocar! Listening to @bradtem here at #ocediscovery! http://t.co/dz5nEL5lZ5
5,I drive hundreds of miles a week. Bring on the driverless car. Cannot wait to stop driving.
5,@manjulamartin @Kirk_Gleason Except trains are very capital intensive and have limited mobility. Driverless cars are the best of both worlds
5,I want a Google driverless car.
5,@Oatmeal @google driverless @TeslaMotors ? Ooooh that would be awesome!!
5,SO MUCH AWESOME! Amazing video for Google's Next Phase in Driverless Cars via @nytimes http://t.co/vo7qk0YQdP
5,@google is making driverless cars which is awesome http://t.co/t2hW30KzcX
5,"You could call a driverless car and tell the car , it will take you there.  Whoo Hoo"
5,"Google's driverless cars, I'll take one!!! "
5,Driverless taxis in NYC would probably be an amazing application.  http://t.co/8JhknI2ltx
5,This whole @google driverless car prototype thing is awesome. http://t.co/uGDZNxOgnu http://t.co/NaB0AkAoZN
5,Google's New Driverless Car Has No Brake Pedal Or Steering Wheel http://t.co/Z2n5dEjmso via @HuffPostTech... / this is fantastic.
5,"Riding in a driverless car is on my bucket list, this is so damn exciting. #Google http://t.co/dOuKZKacnU"
5,This is the future and it is now!! OH the places we will go!! https://t.co/ypmueE0MDW Can't wait for the driverless car. #scichat
5,@NicoleLapin The driverless car is a great idea for someone like me who has an eye condition that makes me unable to drive a car.
5,This is why we need driverless cars. http://t.co/uuZ7BMHb
5,"@WOKVNews @jax_florida @RussellANjax Can't wait for @Google driverless cars. Soon, we'll rarely drive and so many lives will be saved"
5,They're coming out with driverless cars.... I'm in
5,I want a driverless car so bad.
5,Driverless cars could also end drunk driving forever and save lives.   http://t.co/BftPWYPcE6
5,"I am for driverless cars. Sick of the accidents, injuries, deaths, people driving recklessly all the time. It must stop."
5,"Driverless cars will eliminate 80% of traffic in crowded cities, says MIT: http://t.co/RPrdGSe8Mc"
5,Less ROAD RAGE RT @Lawsonbulk: The potential benefits of driverless cars are stunning http://t.co/opRdZkpxK4
5,The Mercedes-Benz driverless research car looks amazing. satamadik halaa :(
5,"At a session, Watching and listening to head of googles driverless car program. Absolutely Fascinating!!"
5,"Driverless Cars Sound Awesome, But The Actual Economic Impact Is Going To Blow Your Mind.   http://t.co/fqxUXYNU2Y"
5,"Can't wait for driverless cars to come out! This is the first time I'm excited about motor vehicles, in my entire life."
5,"I love these times ""from age of horse less to driver less travel"" MT @forbes Google To Build Its Own Driver less Cars http://t.co/kf4Ipg0dmL"
5,13 hour drive ahead of me... @Google driverless cars can't get here fast enough
5,Driverless cars...just think of the potential productivity &amp; safety gains. http://t.co/EVuGPeTPZB via @freakonomics
5,Poll: Drivers love idea of driverless cars http://t.co/WjB2qHbd86 @ChrisWoodyard @usatoday #driverless #selfdrivingcars #autonomouscar #cars
5,"#Google Survey just asked if I'd use a #driverless car. I only wished they had an ""Hell Yes"" as a radio selection. #cantWait #takeMyMoney"
5,So excited for the Google Glass and Driverless car demo just in a couple of minutes! #yglsvs
5,Driverless car appeals to me instead of the real estate chauffeur one can become: http://t.co/REbLM7fYkb http://t.co/OM2Cj0n3pw
5,"Imagine a world with virtually no DUIs or massive traffic jams, and increased productivity / wealth. Driverless cars will be big for us."
5,@sherylsandberg was awesome last night @Dreamforce. Seeing Google's driverless car at Stanford tonight. Is this heaven?
5,Burkhard Bilger: Inside Google's Driverless Car http://t.co/qQtnB4Y5pw // man I want a self driving car so badly!!
5,"@bslotterback @danalytics Yes, my 11 yo daughter says she ""can't wait"" to have her own driverless car."
5,Driverless cars! Love how Google takes on big challenges AND shares insights with students @ReveAcademy http://t.co/GvIFYbWeK9
5,Total believe it @mashable: Google's Driverless Car Is Now Safer Than the Average Driver - http://t.co/gF125DA3
5,"I, for one, am very excited about self-driving cars. -- Google's Driverless Car is Safer than the Average Driver http://t.co/Mc5mupeU"
5,What a fun and exciting mental exercise to play thinking about the future of driverless cars http://t.co/XITRhk8GsH @chunkamui #killerapp
5,I would like to go for a drive with these guys. Driverless cars will be the safest cars ever #cas13 http://t.co/q24oKdlp
5,@itootill @thetransitfan Driverless shared cars will be much less expensive and much safer. Will obey rules. Can't wait! 10-20 years?
5,A driverless car?? I need to get me one of these http://t.co/334tLkJzuQ
5,Volvos New SUV Will Be Super-Safe Because It�s Semi-Autonomous. Driverless controls by 2020. | Autopia | WIRED
5,"My first ever tweet while cruising in a #driverless car. Mindboggling, sensorial experience. Thx #Google. #whoahorsey http://t.co/iAliBTrVvt"
5,Amazon Prime Air almost as incredible as Google's driverless car http://t.co/SG1entwrn6
5,Jealous! @Reuters own @IngrassiaReuter gets to ride in  @google driverless car!!  Still ready here to beta one! http://t.co/3owbWMUu92
5,The age of driverless cars cannot come soon enough. http://t.co/Q0Khm0EUMA
5,Wow!  Driverless vehicles? Even in the streets of D.C.? http://t.co/Hi6iPEVoLL
5,Self-driving cars? Sounds good to me!  --- Headline @USATODAY: California okays driverless cars http://t.co/v9jFiX1z
5,"""@nytimesbits: With a Push From Google, California Legalizes Driverless Cars http://t.co/GkQVenmb""Yeah baby! Seen cars like this here&amp;there."
5,The future of google...driverless cars...space elevators... #mindblown
5,"Automotive technology: Driver-less cars will reduce accidents, ease congestion."
5,So cool! RT @wired: Score! California becomes second state (after Nevada) to legalize driverless cars: http://t.co/CC69aU9b
5,"I am so getting one! Hurry up KY! ""@nytimesbits: With a Push From Google, California Legalizes Driverless Cars http://t.co/NMNzaRTX"""
5,Say word you can have a driver-less car in California now... #sweet
5,"#Google 's stocks are already skyrocketing, now the driverless are approved in CA !"
5,"@wired These are to go on the google driverless cars, I hope!"
5,@Audi loved your driverless car demo @CES2014. Wrote a quick blog about it http://t.co/ctqnibr4dI
5, Why Driverless Cars Will Make Your Life Perfect� WHEN THEY GET HERE I WILL WELCOME THEM IN MY 80s!
5,Driverless cars- one of the biggest and most exciting technology trends of the next 10 yrs #Deloittepredicts not in the near future
5,Just rode in the @inducttech #Navia  Great ride. Very cool #driverless technology. http://t.co/zFo0Sj56xM
5,I really look forward to driverless cars http://t.co/AQ58NQVyS2
5,Mass-produced driver-less cars in the next ten years. I cannot wait. http://t.co/ZBHtAmuF4Y
5,The number of people on my feed retweeting Newt Gingrich talking about driverless cars is astounding.
5,@pdxcommute driverless cars will be 1000x cheaper than high-speed rail and better for everyone. HSR is a waste of money
5,"@artwiz Driverless cars, less accidents, better traffic flow, adding hours each day to productivity or fun."
5,Just passed a self driving google car on 101 by Mountain View. Feels like the future.
5,I am so blown away with @Audi with their automatic self parking car. Brilliant technology for the future. AMAZING!!!
5,"Toyota is testing self-driving car technology in Ann Arbor, Michigan:� hell yes!! the future is now!"
5,Thank you Google for this!  #selfdriving #car #google #lexus #future #FlyingCarNext #coolsh**  http://t.co/oyo3R1ysoF
5,"The future right there! ""New Google Self-Driving Car Ditches the Steering Wheel"" http://t.co/0uBbqVhASM"
5,CNET: Google's self-driving car is turning out to be a very smart ride: #mindblown #future 
5,"YES YES YES YES ""a future in which people simply order a self-driving car when they need one."" http://t.co/FMixpTKf0r"
5,@pmarca Couldn't agree more! Had my first ride in a self driving car today. It's amazing. Definitely the future.
5,I went for a ride in Google's self driving car today - it blew my mind! the future is now o_o http://t.co/q63QxfPI
5,Woahhhhh a #Google self driving car just drove by. That was cool. #future
5,I've seen the future of transportation! Just been on a ride with Google's self driving car. Epic!!! @seedcamp http://t.co/oHctCW1c8a
5,#SUExecProgram @elonmusk I can't wait to upgrade my S model in 2016...self driving car is the future!
5,New life goal. Be the person that drives a google car and takes pictures.
5,Just saw the google car!!!!! I'm way too excited about this
5,Google is reportedly designing its own self-driving car http://t.co/T0Qhquq1cf via @Appy_Geek love this more sleep on the way to work:D
5,The google car we saw yesterday!!!!111!!one @Niggisarus_Rex @VivaLaCrew http://t.co/Sq1G1OwZ8C
5,I might be the only person who starts #cheering in their car when they see a @google car :) #happiness #feelslikeChristmas
5,Riding around a @Google self-driving car!@always_believin: @Mazy where do u see yourself in 10 years? :) 
5,Wow! Just learned I might be driving the google car around cedar for the street view! Holy crap! #excited
5,We just saw a self driving Google car!! So awesome!
5,Saw the google self driving car while driving to work. The man held his hands up to me to show it really was driving itself #impressive
5,Video of the first user of @Google 's self driving car (lost 95% of his vision - well past legally blind) http://t.co/wk6qeQIF #amazing
5,Just saw the google car #awesome#toocool
5,"Saw the Google Car again. Asked if I could drive. The driver showed me how the car can ""see"". Awesome http://t.co/HTuaMykMsy"
5,Wow! A Google self-driving car in action! http://t.co/nuK7fmER6k
5,GAHHH GOOGLE SELF DRIVING CAR! #socool @ Kahuna HQ http://t.co/qEKOQxw7UD
5,Just saw the Google Car! Young Boy about to be on the map ðŸ‘Œ
5,@NateKluttz Google Car Wow! http://t.co/lcv4wB25zt
5,#Google Self-Driving Car on City Streets http://t.co/6f8qfwZbqg -- I cannot wait until this technology is available to consumers.
5,Have you hear of the self-driving car at @google? I've heard it is both intelligent and a game changer. #technology #2014
5,Google has a self driving car in California.... My dream come true!
5,"2017, Google? I'm ready for the self driving car now!"
5,Mind blowing Google self-driving car video visualizing the driving technology  https://t.co/tc1qNGYTXz via @bigchaz
5,"mandatory soon?? @timjohnsoncx: Wow, very cool RT @agrabau: Google car avoids a cyclist in testing. Pleasing. �"
5,Has anyone else seen the robotic self driving car by google? So awesome!
5,Google car!!! #checkingoffthebucketlist http://t.co/jaweIj4C
5,I was just thinking.  Finally we won't have to drive cars anymore (Google car) now the braille on the drive thru makes sense!
5,Google has a self driving car!!!! Awesome
5,google: The next stop on the road to a self-driving car WHERE DO I SIGN #awesome
5,"Super cool: ""@google: The next stop on the road to a self-driving car http://t.co/x4rem8zeKy http://t.co/UPdUUaTTb6"""
5,"Omg I just saw a ""self-driving car"" by google wow. ðŸ˜³"
5,Google Self-Driving Car Project https://t.co/3yZ4VksSBg. WANT. TAKE MY MONEY!
5,Another reason I love working at Google X. Mashable: Google Unveils Self-Driving Car. http://t.co/l9lh5pLFjO #futureiscloserthanwethink
5,"IT'S SO DAMN CUTE. ""@mashdevdesign: Google unveils self-driving car prototype. http://t.co/yJ4gKkZWHR http://t.co/8SSaMN8vAu"""
5,SIGN ME UP - Google Just Unveiled A Self-Driving Car Prototype Without A Steering Wheel Or Pedals 
5,Awesome! In our parking I found Google self-driving car :) http://t.co/Fljn5SnN
5,First ride in a Google self-driving car. Amaaaazing @ComputerHistory
5,"Too cool. ""@voxdotcom: Google built a real self-driving car without a steering wheel or pedals http://t.co/yz3IlioYY4"""
5,"So ready!!! ""@Google Just Unveiled A Self-Driving Car Without A Steering Wheel Or Pedals http://t.co/HZcGAkTVtB http://t.co/d3M8XImMUT"""
5,"um, can i have it tmrrw? @engadget: Would you buy a self-driving car powered by @Google?"" "
5,"Just saw a google car taking street view pictures!  Never seen one before, neat! (@ Po-dunk Middle Of Nowhere) http://t.co/3yf0mlyU"
5,unbelievably excited about the google self-driving car
5,Reasons the Google Car is cool: 1)Get drunk at bars and not murder a bus full of children driving home 2)
5,"I think I am more excited about the self driving car, than anything else since I joined @Google. It's just awesome!"
5,@jenniferdaniel: As someone who never learned how to drive I welcome our google car overlords.
5,Genius move by Google to make the self driving car brand approachable and cute. So disarmingly brilliant.
5,Love when Google does futuristic stuff like this. Also giving the self driving car a face is pretty genius: http://t.co/Bgj9i6rvn0
5,Google has created self driving car. No more driving it does it for you wasssup!
5,I need the self-driving car of Google ðŸ˜©
5,I'll be one of the first to by a google car lol #DrivingWhat?
5,Incredibly AWESOME. Can't wait. @MandaCessac: Google unveils its self-driving car http://t.co/9e862khJgS This is incredible.
5,Just drove by the google car!
5,I just passed the google car tooðŸ˜ omg I've wanted to see one for yearsðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜
5,Excited about the @google self-driving car project at the #CloudWF. Seriously watch this! https://t.co/AeO9zTncDD
5,"The Google self-driving car should have an ""I'm Feeling Lucky"" button that drives you to a random location. �This is gold, Jerry!"
5,"Love seeing the #Google car! google #GoogleEarth #Maps #Geography @ Franklin, TN http://t.co/FJE5hje6sH"
5,How awesome is this: google self-driving car with streetview cam outside of #figment benefit!
5,Saw the google self-driving car for the first time today! Feel like I spotted a celebrity... http://t.co/DvW4uSgmEn
5,Omg I just saw the google car!!!!! It was so cool.
5,Just saw a Google self-driving car in the wild! Woot! It was extremely well behaved. Me wants!
5,Seeing the Google car drive by was the most exciting thing that's happened to me in about 3 weeks.
5,Google Self-driving car is out in front of the office  Did I mention how excited I am for the machine uprising? I love robots &lt;3 #dontkillme
5,"This is the coolest sight to see when you get home. The #Google car returns! Wish I was Dad, lucky he http://t.co/IApHKEUXyP"
5,Self-Driving Car Test: Steve Mahan this is amazing. #Google http://t.co/DtYD3PF9ZG
5,"@Mia_Angione one day, I will ride on the solar roadways in my self driving car while watching TV on my Google glasses and it will rock"
5,I'd like a Google self driving car about now
5,Look! No hands! Sweet ride in the experimental self-driving car today. (at Google Mountain View) [pic] 
5,In the back of a self driving google car w @PatrickDempsey! This is awesome. (at @Google) [pic] 
5,Google self driving car taking blind MSN to Taco Bell and dry cleaners...awesome! #vmworld Genius Machines http://t.co/NwaaP27B
5,Throngs of geeks surrounding the google car - damn cool technology! http://t.co/QVIk4zgv
5,I just saw the Google car. Awesome!
5,"For all the shit I give google, this is a genuinely cool project. (self driving car) http://t.co/gCeUQ9Cw"
5,@wolfganggartner BMW is stepping up. Looks too sick! rather get the google car tho! It drives its self so that mean no DUI. Teehee xD
5,Just saw a google self-driving car handle some pretty amazing situations in downtown SF. Better than a human could. It's ready.
5,What is cooler than Tesla?  A Google self-driving car on 280
5,Spotted in #MountainView. #Google self driving car. #love #technology #Iwanttotry @ Mountain View
5,The Amazing Ways The Google Car Will Change the World http://t.co/CCvuuFTQKn via @visually http://t.co/kL9UUmn9VY
5,@MaggieGCBC The Google car is tons safer than most local drivers. The technology is proven and ready! http://t.co/JKhChhXOqJ
5,Google self driving car! Love what this company does and stands for in the world http://t.co/cM5ql1PJ6Q
5,I just saw the google car!!! eekkk my life is complete!!!
5,@Google 's self driving car! Tech and innovation at its finest #tech #car #driving #innovation http://t.co/qRWM6rS3ho
5,I JUST SAW A SELF-DRIVING GOOGLE CAR HOW AWSOMMEE!!
5,Having too much fun racing a Google Self-Driving car. Makes commuting better #google  @ Interstate 280 South http://t.co/gMShPtc9
5,Just passed a Google self-driving car on the 101! I want one of those
5,"""The google car is coming! The google car is coming! No man knoweth the day or hour!"" -the calls I get from Pastor"
5,It's the google car!! http://t.co/46ev6WNk
5,@CarlosGil83 @mashable imagine Nest in your Google self driving car that turns the car on and warms it up for you in the winter? #want
5,@google can you guys hurry with the self-driving car? It would make my morning commute so much better.#roadnap #getonitgoogle
5,Google Self Driving car! #google #cars #awesomeness #bayarea #innovation #santaclara @ 101 S http://t.co/3WntjdR06U
5,"This is a day late, but I was totally geeking out about seeing the @google self driving car on 280 last night. Just another reason to &lt;3 sf"
5,"Just drove past a Google Self-Driving Car!!! There was a guy in there, but he wasn't driving, just sat there smiling! Awesome."
5,Both accidents caused by other cars driven by humans who hit the Google car. Way too many benefits for safety with a car driving itself.
5,Google self driving car is taking a stroll around downtown San Francisco. I want one! (at @TheCreamerySF) [pic] 
5,"Today, I watched a blind man who obviously could not drive get into a self-driven google car and become mobile... Incredible."
5,You know it's a good day when you see a google car!
5,I want that google car that drives itself
5,Very cool - completely self driving car - #google does it again...https://t.co/cuLULv0Zii @lyssaneel
5,Omg omg the new little baby google car is SO CUTE
5,The Google car is definitely an innovation for our coming years. Good job guysðŸ‘Œ
5,Just saw the google car. My life is complete ðŸ™Œ @emilygood
5,Just saw a @google self driving car cruising thru #sf. Love living in a place that has such mindblowing technology. #innovation
5,Self driving cars!!! #GoogleCar commute in auto pilot. Look fwd to it.
5,@debcha self-driving cars seem like the best technical solution to this social problem so far (or higher bridges) (-;
5,Yay!!!!  -  Nissan says it will bring multiple self-driving cars to market by 2020  http://t.co/WkGpuUebNJ
5,Self driving cars powered by @Uber.  This google investment is awesome.
5,Just loved the drive in self driving car from Mountain view to Freeway! @CarWale http://t.co/SlaUUym3sE
5,Self-driving Ubers FTW :)
5,@AdamSilvera welcome to my world. I can't wait for the self driving cars so I can spend more time reading.
5,Self driving cars would be amazing. DDs would be a thing of the past#hurryupscience
5,@FastCoDesign I am so excited for this! Come on self-driving cars.
5,@theheathercarm Self-driving vehicles will change the world. Forever.
5,@abatalion awesome post Aaron. Can't wait to order a self-driving car to chauffeur me (through ad-dense streets) toward my destination :)
5,Toyota FV2 - concept vehicle self driving or driving mode #verycool http://t.co/WoZfvOncmM
5,Took a taxi to a train to a train to a train to a train this morning. Looking forward to a self-driving electric car one day.
5,"@stevenhaddox Yea, plus who wants to wear those stupid gloves to use a computer? Loved the self driving cars though, can't wait for those!"
5,I couldn't be more excited about self-driving cars http://t.co/hpXkh7hX
5,These self driving cars are dope af
5,I'd love a self-driving car :)
5,Toyota's new self-driving car looks awesome @ 2013 CES http://t.co/xxguQJtg
5,OMG SELF-DRIVING TESLA CARS http://t.co/zzB7b0KAsH
5,"My dream is to own a affordable electric self driving car, is that dream really far off? ;) @TeslaMotors"
5,@seanjs I'd like to own a completely redesigned self-driving car with (among other things) the front seats reversed.
5,"Germans working on a self driving car that accelerates, now that's awesome"
5,@Kaymee Some of us can't drive cars ourselves. A self-driving car would give me more choice and free will.
5,"@dhh to take it a step further, imagine how the world will to change with self-driving cars. It'll be as big as the internet."
5,Google has gone from simple search engine to self-driving cars and Glass in just 15 years. Truly mindblowing
5,Self driving car only adds 5-7k to the sticker price?  Put me down for one. http://t.co/h6L01rutfW
5,@lyft @FollowerofElyon I'm really excited about self-driving cars. Who needs silly humans anyway?
5,A terrific talk. @fredguterl: Self-driving cars are modern miracle waiting to happen: Bran Ferren @ #TED2014 http://t.co/ZCyr49kCOM @sciam
5,"Want it!! ""@ForbesLife:  self-driving Rinspeed XchangE could redefine life behind the wheel. http://t.co/v6z6JpZX0B http://t.co/BYCRJL6B5H"""
5,Watch this super cool VIDEO of @Google's Self-Driving Car http://t.co/5vUCqazkZ0
5,"Learning about what's next in tech right now from @briancooley at CNet. So fun to think about connected homes, self-driving cars, and more!"
5,@jpd I don't get how merging can be so hard for people. Self-driving cars can't come soon enough!
5,"@nazik_huq I wish that were true. I really, really want a self-driving car."
5,"@universewx I've heard that here in Florida, self-driving cars are street-legal. I want one!"
5,Are Google's self-driving cars going to ease traffic? Can't wait. #bringonthebots
5,Waiting for my self driving @LitMotors vehicle.... Gimme gimme
5,@mobilemike01 you got one of those Google self-driving cars! Sweet!!
5,When the first mass-produced self-driving car hits the market you can bet your ass I'm buying one.
5,@Google's self-driving car is quite amazing: https://t.co/odHYuYtADD
5,@bigmacher @BoingBoing Right. So full speed ahead for self-driving cars!
5,"In self-driving milestone, Google's autonomous cars are mastering city streets http://t.co/c6WpyiwLXy http://t.co/2IbOmkdCMv"
5,Google's Self-Driving Car Hits The City Streets With Incredible Success [VIDEO]: http://t.co/qz8v9IOCRT @DailyCaller
5,"Self-driving cars hold 'great promise' for saving thousands of lives, says US government official http://t.co/adOyi8bF"
5,Two things. iOS6 maps are horrendously inaccurate. Two. Self driving Google cars can't come soon enough.
5,@Hicksdesign We need those self-driving Google Priuses sooner than later. ;)
5,Spent 6 hours in the car today I cannnot wait: What it is like to take a ride in Google self-driving car
5,@pkedrosky self driving cars cannot get here soon enough.
5,Googles self driving cars...soo cool #iwantone
5,I want a self driving car so bad.
5,"I have to admit, Google's new self-driving car is pretty amazing. http://t.co/M2C7FoSL4Z"
5,"Crazy hostility on CNBC this morning against Google's self-driving car, which is self-evidently inevitable and desirable."
5,Google Self-Driving Cars will do Wonders to example the People Logistics business of @Ube #CodeCon @Recode  $GOOG
5, Google's new self-driving car I watched something on this earlier HOLY CRAP
5,"Check out these amazing photos of Goggle's brand new, very cute, self-driving car this car is awesome"
5,.@google announces self driving cars at #recode conf.  so awesome! #anythingispossible RT @mjones: http://t.co/waqNI4GxfQ
5,self-driving cars was a genius PR strategy by google
5,The direct and indirect opportunities of self-driving cars will be enormous for startups. 
5,I've seen the future. And self-driving cars r it. Lexus RX? That's how Google rolls. http://t.co/MCEcBuyT
5,Can not wait for my self-driving Tesla
5,"Want one! -&gt; Google's prototype electric self-driving car seats two, has no steering wheel (Casey Johnston) http://t.co/K5p0ESa8F8"
5,Google's self driving taxi is the true answer to pubtrans Ive been dreaming of for a decade. I hope they make it really real.
5,#Google's self driving car -- Delovely!
5,"@AbolitionOf yup, and that's the problem. We go for entertainment too often over education. But self-driving cars are entertaining too!"
5,"@kathrynschulz @edyong209 The self driving car will be attentive, something humans lack. And a factor in many accidents."
5,What it feels like to ride in a self-driving car | truly awesome!
5,Google's self-driving car prototype is SO cool! I want to put it in my pocket. http://t.co/KFk62RY4OH #backtothefuture #missmycar
5,I must have this. My life would be complete. MT @b_fung: Google's new self-driving car is pretty cute. http://t.co/9EkX0zsvM8
5,"You guys can poke fun at Google's self-driving car thing, but as someone whos banned from driving because of my vision, I'd LOVE one."
5,"@Chris_Gammell I can not wait to relegate my daily commute to a self-driving car, as long as I have to have a commute."
5,This is awesome! A proper self driving city car. Can't wait to see these on the streets in Mountain View. Sign me up! http://t.co/kChougp2PI
5,@timothyjoreilly yup exactly. the self-driving car stuff is extremely exciting.
5,Google has self-driving cars built from the ground up. Probably the most amazing thing they have done. I wish my grandparents had had one.
5,Self driving cars = Significant reduction in accidents and road deaths. A smaller insurance industry. Much more diversity in vehicle design.
5,Self-driving cars! @charlestm  @ VCU Brandcenter http://t.co/0tgXVxcU
5,I hope I get to see truly self driving cars in my lifetime.
5,Witnessed a Google's self-driving Lexus merge on to the 101 perfectly between two other cars. Very impressed.
5,I see these self-driving cars more and more now. Makes me want one soooo bad! @ Silicon Valley http://t.co/5ogpb62p
5,"Wow! #Gesturetechnology, parking assist, self-driving cars. Interesting and cool report this morning! @MBUSA @TODAYshow @craigmelvin"
5,Its very nice!RT @cdixon: It's awesome that Google is investing in futuristic stuff like AR glasses and self-driving cars.
5,Had my first journey in a self driving car today. An amazing experience. Can't wait for these to get to production. http://t.co/7yGbG6Hddm
5,Getting a peek at a self-driving vehicle at the @ford test track today #furtherwithford So cool!  http://t.co/IiA359TnEb
5,"@UnboxTherapy #JRE podcast was great! I'm pretty pumped about self driving cars, and look forward to I telling me what phone to buy..)"
5,".free self-driving cars would be the best public transportation, obviously @olofster @tomlazar"
5,Incredible technology from Google -- self driving cars. http://t.co/F1TKQx4iWD
5,Can't wait for the day that self driving cars are the norm.
5,I want one of those google self driving cars. Life would be awesome.
5,"We invented the car and now, we're on the verge of introducing the self-driving car. See our breakthroughs: http://t.co/csItvWyCeq"
5,Self driving cars are coming to my back yard. I'm excited. I wonder of I can borrow 1 for my commute. http://t.co/9pVGl6BEwh
5,Can't wait for self driving car to get here!!! #tapon #traffic
5,"Study: Self-Driving Cars Would Eliminate Majority Of Traffic Deaths, Congestion: WASHINGTON (AP) In some ways,... http://t.co/TCep8tqmgh"
5,"I'd like my self-driving car now, please."
5,Very cool. Mercedes Benz TV: Autonomous long-distance drive; lots of progress on self driving cars
5,The coolest thing about self-driving cars is that you could signal yours to pick you up from the airport or a concert
